Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,916Gon;Night,30000,/fortnite/916Gon;/fortnite/Night,BR,Duos,50,50,2026-04-25,2026-04-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2026/Major_1/Brazil
2,TheFeloz;Jxness,15000,/fortnite/TheFeloz;/fortnite/Jxness,,,,,,,
3,Nutifps;Gabzera,10000,/fortnite/Nutifps;/fortnite/Gabzeralindo,,,,,,,
4,Lewa;Romero,8000,/fortnite/Lewa;/fortnite/Romero,,,,,,,
5,Randu;Grx,6000,/fortnite/Randu;/fortnite/Grx,,,,,,,
6,KBR;Azizis,5000,/fortnite/KBR;/fortnite/Azizis,,,,,,,
7,mack;Diguera,4000,/fortnite/Mack;/fortnite/Diguera,,,,,,,
8,Nahux;Gonzalo,3500,/fortnite/Nahux;/fortnite/Gonzalobtw,,,,,,,
9,Cauee;Kaduzin,3000,/fortnite/Cauee;/fortnite/Kaduzin,,,,,,,
10,Fazer;K1nG,2500,/fortnite/Fazer;/fortnite/K1nG,,,,,,,
11,Letz;Frans,2000,/fortnite/Letz;/fortnite/Frans,,,,,,,
12,Keicox;RodryGOD,2000,/fortnite/Keicox;/fortnite/RodryGOD,,,,,,,
13,Cadu;EdRoadToGlory,2000,/fortnite/Cadu;/fortnite/EdRoadToGlory,,,,,,,
14,Jpfk1ng;Paulinyache32,2000,/fortnite/Jpfk1ng;/fortnite/Paulinyache32,,,,,,,
15,Hazzense;Kitoz,2000,/fortnite/Jasenszzzz;/fortnite/Kitoz,,,,,,,
16,Teuzz;KING,2000,/fortnite/Teuzz;/fortnite/KING,,,,,,,
17,White;Spectral,2000,/fortnite/White;/fortnite/Spectral,,,,,,,
18,Tisco;Nickz,2000,/fortnite/Tisco;/fortnite/Nickz,,,,,,,
19,Mvx;Arthurbc,2000,/fortnite/Mvx;/fortnite/Arthurbc,,,,,,,
20,Mxsty;Lucx,2000,/fortnite/Mxsty;/fortnite/Lucx,,,,,,,
21,Pardal;Seeyun,1500,/fortnite/Pardal;/fortnite/Seeyun,,,,,,,
22,Fishy;Sanku,1500,/fortnite/Fishy;/fortnite/Sanku,,,,,,,
23,Persa;Pingu,1500,/fortnite/Persa;/fortnite/Pingu,,,,,,,
24,Riquelmee;Chap,1500,/fortnite/Riquelmee;/fortnite/Chap_(Brazilian_player),,,,,,,
25,Trueno;wolfie,1500,/fortnite/Trueno;/fortnite/Wolfie,,,,,,,
26,Tecne;Thiagin,1500,/fortnite/Tecne;/fortnite/Thiagin,,,,,,,
27,Kayky;Kchorro,1500,/fortnite/KaykyGames;/fortnite/Kchorro,,,,,,,
28,Xeat;Scarpa,1500,/fortnite/Xeat;/fortnite/Scarpa,,,,,,,
29,Mv;Stryker,1500,/fortnite/Mv;/fortnite/Stryker,,,,,,,
30,Clown;Parkyn,1500,/fortnite/Clown;/fortnite/Parkyn,,,,,,,
31,fxbinzrr;Theux,1000,/fortnite/Fxbinzrr;/fortnite/Theux,,,,,,,
32,chacal;Bahiense,1000,/fortnite/Chacal;/fortnite/Bahiense,,,,,,,
33,OPai;Slw,1000,/fortnite/Opai;/fortnite/Slw,,,,,,,
34,Pedrin;Carlin,1000,/fortnite/Pedrin;/fortnite/Carlin,,,,,,,
35,awt;guizera,1000,/fortnite/Awt;/fortnite/Guizera,,,,,,,
36,Steg;covrezinn,1000,/fortnite/Steg;/fortnite/Covrezinn,,,,,,,
37,Edson;Phzin,1000,/fortnite/Edson;/fortnite/Phzin,,,,,,,
38,seawxve;Felpsz,1000,/fortnite/Seawxve;/fortnite/Felpsz,,,,,,,
39,Pietrxrr;vinizin,1000,/fortnite/Pietrxrr;/fortnite/Vinizin,,,,,,,
40,sirence;vadeyy,1000,/fortnite/Sirence;/fortnite/Vadeyy,,,,,,,
41,Blaazeerd;Lezin,500,/fortnite/Blaazeerd;/fortnite/Lezin,,,,,,,
42,texz;Yzan,500,/fortnite/Texz;/fortnite/Yzan,,,,,,,
43,Sad;Dutra,500,/fortnite/Sad;/fortnite/Dutra,,,,,,,
44,Gutinho;Zuin,500,/fortnite/Gutinho;/fortnite/Zuin,,,,,,,
45,tech;Nicobuca,500,/fortnite/Tech;/fortnite/Nicobuca,,,,,,,
46,joeyhetfield;keex,500,/fortnite/Joeyhetfield;/fortnite/Keex,,,,,,,
47,valinsky;vazzyk,500,/fortnite/Valinsky;/fortnite/Vazzyk,,,,,,,
48,alejo314;Tatinocho,500,/fortnite/Alejo314;/fortnite/Tatinocho,,,,,,,
49,MatiBachicha;lautiquba,500,/fortnite/MatiBachicha;/fortnite/Lautiquba,,,,,,,
50,Gxra;Kizho,500,/fortnite/Gxra;/fortnite/Kizho,,,,,,,
