Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Sky;Scroll,120000,/fortnite/Skyboy;/fortnite/Scroll,EU,Duos,50,50,2026-04-25,2026-04-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2026/Major_1/Europe
2,Tjino;PabloWingu,80000,/fortnite/Tjino;/fortnite/PabloWingu,,,,,,,
3,vic0;Malibuca,60000,/fortnite/Vic0try0na;/fortnite/Malibuca,,,,,,,
4,FoCuS;Th0masHD,50000,/fortnite/FoCuS;/fortnite/Th0masHD,,,,,,,
5,shxrk;t3eny,40000,/fortnite/Shark;/fortnite/T3enyy,,,,,,,
6,Shur4;Repairs,30000,/fortnite/Shura;/fortnite/Repairs,,,,,,,
7,Darm;Demus,25000,/fortnite/Darm;/fortnite/Demus,,,,,,,
8,Cr1nge;Twi,20000,/fortnite/Cr1nge;/fortnite/Twi,,,,,,,
9,Syaaz;Scary,18000,/fortnite/Syaaz;/fortnite/Scary,,,,,,,
10,Japko;panzer,16000,/fortnite/Japko;/fortnite/Panzer,,,,,,,
11,Nebs;Nxthan,14000,/fortnite/Nebs;/fortnite/Nxthan,,,,,,,
12,Cringe;Volko,12000,/fortnite/Cringe;/fortnite/Volko,,,,,,,
13,IDrop;MariusCOW,10000,/fortnite/IDrop;/fortnite/MariusCOW,,,,,,,
14,charyy;Kami,8000,/fortnite/Charyy;/fortnite/Kami,,,,,,,
15,Cheatiin;JannisZ,6000,/fortnite/Cheatiin;/fortnite/JannisZ,,,,,,,
16,SwizzY;Pixie,5500,/fortnite/SwizzY;/fortnite/Pixie,,,,,,,
17,Chap;Flickzy,5000,/fortnite/Chap_(Swiss_player);/fortnite/Flickzy,,,,,,,
18,Noahreyli;rezon ay,4500,/fortnite/Noahreyli;/fortnite/Rezon_ay,,,,,,,
19,dandepuzo;Werex,4000,/fortnite/Dandepuzo;/fortnite/Werex,,,,,,,
20,Minori;Darkos,3500,/fortnite/Minori;/fortnite/Darkos,,,,,,,
21,SkyJump;Momsy,3000,/fortnite/Skyjump;/fortnite/Momsy,,,,,,,
22,Nero;joshbot,3000,/fortnite/Nero;/fortnite/Joshbot,,,,,,,
23,Glubschi;prax,3000,/fortnite/Glubschi;/fortnite/Prax,,,,,,,
24,AzatGo;iFr0zi,3000,/fortnite/AzatGo;/fortnite/IFr0zi,,,,,,,
25,Dinus;Franek,3000,/fortnite/Dinus;/fortnite/Franek,,,,,,,
26,Howly;1Lusha,3000,/fortnite/Howly;/fortnite/1lusha,,,,,,,
27,Shaykoz;Tylio,3000,/fortnite/Shaykoz;/fortnite/Tylio,,,,,,,
28,Belusi;Zangi,3000,/fortnite/Belusi;/fortnite/Zangi,,,,,,,
29,Kyto;Hijoe,3000,/fortnite/Kyto;/fortnite/Hijoe,,,,,,,
30,Huty;F1shyX,3000,/fortnite/Huty;/fortnite/F1shyXX,,,,,,,
31,k0tyarich;Kyry,2000,/fortnite/K0tyarich;/fortnite/Kyry,,,,,,,
32,Pixovsky;SereN,2000,/fortnite/Pixovsky;/fortnite/SereN,,,,,,,
33,Lunex;wolvax,2000,/fortnite/LunexHD;/fortnite/Wolvax,,,,,,,
34,Trooly;Ghonzo,2000,/fortnite/Trooly;/fortnite/Ghonzo,,,,,,,
35,JarKo;Kiire,2000,/fortnite/JarKo;/fortnite/Kiire,,,,,,,
36,Moneymaker;Fnajen,2000,/fortnite/Moneymaker;/fortnite/Fnajen,,,,,,,
37,G0lDx2;Peshka,2000,/fortnite/G0lDx2;/fortnite/Peshka,,,,,,,
38,Birk;Zayni,2000,/fortnite/Birk;/fortnite/Zayni,,,,,,,
39,Akiira;Kurama,2000,/fortnite/Akiira;/fortnite/Kurama,,,,,,,
40,kantri;Juu,2000,/fortnite/Kantri;/fortnite/Juu,,,,,,,
41,Ziffy;Jurdy,1000,/fortnite/Ziffy;/fortnite/Jurdy,,,,,,,
42,ghxsty;Glub,1000,/fortnite/Ghxsty;/fortnite/Glub,,,,,,,
43,f3kser;xtery,1000,/fortnite/F3kser;/fortnite/Xtery,,,,,,,
44,forg;Xaizz,1000,/fortnite/Forg;/fortnite/Xaizz,,,,,,,
45,Kaan;Faded,1000,/fortnite/Kaan;/fortnite/Faded,,,,,,,
46,Slyzz;Schmali,1000,/fortnite/Slyzz;/fortnite/Schmali,,,,,,,
47,R3xxx;Alvin,1000,/fortnite/R3xxx;/fortnite/Alvin,,,,,,,
48,XZEEVIT;Crxty,1000,/fortnite/XZEEVIT;/fortnite/Crxty,,,,,,,
49,twek;Mydro,1000,/fortnite/Twek;/fortnite/Mydro,,,,,,,
50,Nighty;Ricknada,1000,/fortnite/Nighty;/fortnite/Ricknada,,,,,,,
