Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,VicterV;Khanada,30000,/fortnite/VicterV;/fortnite/Khanada,NAW,Duos,50,50,2026-04-25,2026-04-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2026/Major_1/North_America_West
2,Minit;Bdawg,15000,/fortnite/Minit;/fortnite/Bdawg,,,,,,,
3,Xpon;Doxey,10000,/fortnite/Xpon;/fortnite/Doxey,,,,,,,
4,Yumi;Salko,8000,/fortnite/Yumi;/fortnite/Salko,,,,,,,
5,Raygun;Silxzys,6000,/fortnite/Ratgun;/fortnite/Silxzys,,,,,,,
6,phoenix;Retro,5000,/fortnite/Phoenix;/fortnite/Retro,,,,,,,
7,Zno;Zookez,4000,/fortnite/Zno;/fortnite/Zookez,,,,,,,
8,Razez;Munk,3500,/fortnite/Razez;/fortnite/Munk,,,,,,,
9,RyqnTron;Row,3000,/fortnite/RyqnTron;/fortnite/Row,,,,,,,
10,purple;Centro,2500,/fortnite/Purple;/fortnite/Centro,,,,,,,
11,oc;Larccoz,2000,/fortnite/Oc;/fortnite/Larccoz,,,,,,,
12,Evolved;Peepotron,2000,/fortnite/Evolved;/fortnite/Peepotron,,,,,,,
13,Hilly;Yungin,2000,/fortnite/Lmao;/fortnite/Yungin,,,,,,,
14,Blink;Fuzz,2000,/fortnite/Blink;/fortnite/Fuzz,,,,,,,
15,icyfai;Compton,2000,/fortnite/Icyfai;/fortnite/Compton,,,,,,,
16,remz;Immp,2000,/fortnite/Remz;/fortnite/Immp,,,,,,,
17,EpikWhale;PXMP,2000,/fortnite/EpikWhale;/fortnite/Pxmp,,,,,,,
18,Vanillaz;Hajuu,2000,/fortnite/Vanillaz;/fortnite/Hajuu,,,,,,,
19,Snevy;Dark,2000,/fortnite/Snivy;/fortnite/Dark,,,,,,,
20,Eryx;Darky,2000,/fortnite/Eryx;/fortnite/Darky_(NA_player),,,,,,,
21,Jeulzz;CZR,1500,/fortnite/Jeulzz;/fortnite/CZR,,,,,,,
22,Bacca;Parz,1500,/fortnite/Bacca;/fortnite/Parz,,,,,,,
23,Mannii14;Zyrofnw,1500,/fortnite/Mannii14;/fortnite/Zyrofnw,,,,,,,
24,Source;Sxhool,1500,/fortnite/Source;/fortnite/Sxhool,,,,,,,
25,choppah;Stew1x,1500,/fortnite/Choppah;/fortnite/Stew1x,,,,,,,
26,Dustin;KadenFTW,1500,/fortnite/Dustin;/fortnite/KadenFTW,,,,,,,
27,Souzzzy;Gabx,1500,/fortnite/Souzzzy;/fortnite/Gabx,,,,,,,
28,xenon;Velo,1500,/fortnite/Xenon;/fortnite/Velo,,,,,,,
29,Jauscen;Lomely,1500,/fortnite/Jauscen;/fortnite/Lomely,,,,,,,
30,Azazel;Cyrzr,1500,/fortnite/Azazel;/fortnite/Cyrzr,,,,,,,
31,Icyy;Clonyy,1000,/fortnite/Icyy;/fortnite/Clonyy,,,,,,,
32,beanster;chasefv,1000,/fortnite/Beanster;/fortnite/Chasefv,,,,,,,
33,Gojo;Hern,1000,/fortnite/Gojo;/fortnite/Hern,,,,,,,
34,Bowcros;Saynx,1000,/fortnite/Bowcros;/fortnite/Saynx,,,,,,,
35,Whizxiy;sepz,1000,/fortnite/Whizxiy;/fortnite/Sepz,,,,,,,
36,Papi Blast;ChickenItza,1000,/fortnite/Papi_Blast;/fortnite/ChickenItza,,,,,,,
37,Digital;mattbruh,1000,/fortnite/Digital;/fortnite/Mattbruh,,,,,,,
38,Hezy;Virus,1000,/fortnite/Hezy;/fortnite/Virus,,,,,,,
39,Cofts;sudds,1000,/fortnite/Cofts;/fortnite/Sudds,,,,,,,
40,Echo;verT,1000,/fortnite/Echo_(NA_player);/fortnite/VerT,,,,,,,
41,Fly;timko,500,/fortnite/Fly;/fortnite/Timko,,,,,,,
42,Lyric;dexy,500,/fortnite/Lyric;/fortnite/Dexy,,,,,,,
43,Mezega;Tups,500,/fortnite/Mezega;/fortnite/Tups,,,,,,,
44,crot2b;Blzerd,500,/fortnite/Crot2b;/fortnite/Blzerd,,,,,,,
45,Flash;Ty,500,/fortnite/Flash;/fortnite/Ty,,,,,,,
46,Keen;zaire,500,/fortnite/Keen;/fortnite/Zaire,,,,,,,
47,Highson;CIUZM,500,/fortnite/Highson;/fortnite/CIUZM,,,,,,,
48,Shipski;Braden,500,/fortnite/Shipski;/fortnite/Braden,,,,,,,
49,trunk;Cougar,500,/fortnite/Trunk;/fortnite/Cougar,,,,,,,
50,Hazo;LeHunt,500,/fortnite/Hazo;/fortnite/LeHunt,,,,,,,
