Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,EpikWhale;PXMP,30000,/fortnite/EpikWhale;/fortnite/Pxmp,NAW,Duos,50,50,137000,Online,North America,,2026-08-01,2026-08-02,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2026/Major_2/North_America_West
2,phoenix;Retro,15000,/fortnite/Phoenix;/fortnite/Retro,,,,,,,,,,,
3,Inact;ZLink,10000,/fortnite/Inact;/fortnite/ZLink,,,,,,,,,,,
4,Raygun;Azazel,8000,/fortnite/Ratgun;/fortnite/Azazel,,,,,,,,,,,
5,vorx;Evolved,6000,/fortnite/Vorx;/fortnite/Evolved,,,,,,,,,,,
6,timko;sudds,5000,/fortnite/Timko;/fortnite/Sudds,,,,,,,,,,,
7,sole;kjcoin,4000,/fortnite/Sole;/fortnite/Kjcoin,,,,,,,,,,,
8,CZR;Gabx,3500,/fortnite/CZR;/fortnite/Gabx,,,,,,,,,,,
9,Silxzys;oc,3000,/fortnite/Silxzys;/fortnite/Oc,,,,,,,,,,,
10,Compton;Snevy,2500,/fortnite/Compton;/fortnite/Snivy,,,,,,,,,,,
11,Cyrzr;Velo,2000,/fortnite/Cyrzr;/fortnite/Velo,,,,,,,,,,,
12,Hern;Mezega,2000,/fortnite/Hern;/fortnite/Mezega,,,,,,,,,,,
13,Braden;Phenom,2000,/fortnite/Braden;/fortnite/Phenom,,,,,,,,,,,
14,peralta;Devury,2000,/fortnite/Peralta;/fortnite/Devury,,,,,,,,,,,
15,Uzi;Kernel,2000,/fortnite/Uzi;/fortnite/Kernel,,,,,,,,,,,
16,icyfai;zaire,2000,/fortnite/Icyfai;/fortnite/Zaire,,,,,,,,,,,
17,Jeulzz;beanster,2000,/fortnite/Jeulzz;/fortnite/Beanster,,,,,,,,,,,
18,Salko;Faxuty,2000,/fortnite/Salko;/fortnite/Faxuty,,,,,,,,,,,
19,Zyrofnw;Darky,2000,/fortnite/Zyrofnw;/fortnite/Darky_(NA_player),,,,,,,,,,,
20,mukutaf;mopping,2000,/fortnite/Mukutaf;/fortnite/Mopping,,,,,,,,,,,
21,Minit;Bdawg,1500,/fortnite/Minit;/fortnite/Bdawg,,,,,,,,,,,
22,Gojo;Whizxiy,1500,/fortnite/Gojo;/fortnite/Whizxiy,,,,,,,,,,,
23,Spexz;LeHunt,1500,/fortnite/Spexz;/fortnite/LeHunt,,,,,,,,,,,
24,Zno;Larccoz,1500,/fortnite/Zno;/fortnite/Larccoz,,,,,,,,,,,
25,Rapid;Extinct,1500,/fortnite/Rapid_(NA_player_2);/fortnite/Extinct,,,,,,,,,,,
26,remz;Immp,1500,/fortnite/Remz;/fortnite/Immp,,,,,,,,,,,
27,Exoticz;Tharm,1500,/fortnite/Exoticz;/fortnite/Tharm,,,,,,,,,,,
28,ol0f;Lancelot,1500,/fortnite/Ol0f;/fortnite/Lancelot,,,,,,,,,,,
29,senz;sambtw,1500,/fortnite/Senz;/fortnite/Sambtw,,,,,,,,,,,
30,choppah;Stew1x,1500,/fortnite/Choppah;/fortnite/Stew1x,,,,,,,,,,,
31,qasruh;THORIK,1000,/fortnite/Qasruh;/fortnite/Thor,,,,,,,,,,,
32,Flash;Crank,1000,/fortnite/Flash;/fortnite/Crank,,,,,,,,,,,
33,tibbah;Jasper,1000,/fortnite/Tibbah;/fortnite/Jasper,,,,,,,,,,,
34,Blink;Peepotron,1000,/fortnite/Blink;/fortnite/Peepotron,,,,,,,,,,,
35,lucksfv;Centro,1000,/fortnite/Lucksfv;/fortnite/Centro,,,,,,,,,,,
36,nxhqzi;Blaine,1000,/fortnite/Nxhqzi;/fortnite/Blaine,,,,,,,,,,,
37,SniperDudeRIP;Ash,1000,/fortnite/SniperDudeRIP;/fortnite/Ash,,,,,,,,,,,
38,Geno;sepz,1000,/fortnite/Geno;/fortnite/Sepz,,,,,,,,,,,
39,Scared;okasy,1000,/fortnite/Scared;/fortnite/Okasy,,,,,,,,,,,
40,vort;pax,1000,/fortnite/Vort;/fortnite/Pax,,,,,,,,,,,
41,Krisp;Tinytawn,500,/fortnite/Krisp_(NAW_player);/fortnite/Tinytawn,,,,,,,,,,,
42,bray;zafuu,500,/fortnite/Bray;/fortnite/Zafuu,,,,,,,,,,,
43,Keen;Darts,500,/fortnite/Keen;/fortnite/Darts,,,,,,,,,,,
44,Trex;ShotGunB,500,/fortnite/Trex;/fortnite/ShotGunB,,,,,,,,,,,
45,Axtro;Ray,500,/fortnite/Axtro;/fortnite/Ray,,,,,,,,,,,
46,Pacz;Chele,500,/fortnite/Pacz;/fortnite/Chele,,,,,,,,,,,
47,kisen;WQLZ,500,/fortnite/Kisen;/fortnite/WQLZ,,,,,,,,,,,
48,trunk;Cougar,500,/fortnite/Trunk;/fortnite/Cougar,,,,,,,,,,,
49,Quangtang;Dylxn,500,/fortnite/Quangtang;/fortnite/Dylxn_(NA_player),,,,,,,,,,,
50,Spritewth;fast4L,500,/fortnite/Spritewth;/fortnite/Fast4L,,,,,,,,,,,
