Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Cooper;Mero,1000000,/fortnite/Cooper;/fortnite/Mero,Global,Duos,50,73,2023-10-13,2023-10-15,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2023
2,Kami;Setty,650000,/fortnite/Kami;/fortnite/Setty,,,,,,,
3,Chico;TruleX,400000,/fortnite/Chico;/fortnite/TruleX,,,,,,,
4,Cheatiin;Pixie,300000,/fortnite/Cheatiin;/fortnite/Pixie,,,,,,,
5,Mkmkpapa;Shelom,200000,/fortnite/Russ;/fortnite/Shelom,,,,,,,
6,Brycx;Chubs,150000,/fortnite/Brycx;/fortnite/Chubs,,,,,,,
7,Acorn;Cold,120000,/fortnite/Acorn;/fortnite/Cold,,,,,,,
8,Eomzo;Rise,100000,/fortnite/Eomzo;/fortnite/Rise,,,,,,,
9,Reet;Ritual,80000,/fortnite/Reet;/fortnite/Ritual,,,,,,,
10,Pinq;vic0,50000,/fortnite/Pinq;/fortnite/Vic0try0na,,,,,,,
11,Queasy;Veno,50000,/fortnite/Queasy;/fortnite/Veno,,,,,,,
12,Flickzy;Gripey,50000,/fortnite/Flickzy;/fortnite/Gripey,,,,,,,
13,Karmy;Vanyak3kk,50000,/fortnite/Karmy;/fortnite/Vanyak3kk,,,,,,,
14,Batman Bugha;Rapid,50000,/fortnite/Batman_Bugha;/fortnite/Rapid,,,,,,,
15,Merstach;TaySon,50000,/fortnite/Merstach;/fortnite/TaySon,,,,,,,
16,Pollo;Sphinx,30000,/fortnite/Pollo;/fortnite/Sphinx,,,,,,,
17,Misha;t3enyy,30000,/fortnite/Misha;/fortnite/T3enyy,,,,,,,
18,Ajerss;Khanada,30000,/fortnite/Ajerss;/fortnite/Khanada,,,,,,,
19,charyy;G13ras,30000,/fortnite/Charyy;/fortnite/G13ras,,,,,,,
20,Axeforce;Robban,30000,/fortnite/Axeforce;/fortnite/Robban,,,,,,,
21,Mshx;Rew,20000,/fortnite/Mshary_(Mshary_AlShammari);/fortnite/Rew,,,,,,,
22,Gabzera;Nuti,20000,/fortnite/Gabzeralindo;/fortnite/Nutifps,,,,,,,
23,Bugha;Threats,20000,/fortnite/Bugha;/fortnite/Threats,,,,,,,
24,axadasz;Stryker,20000,/fortnite/Axadasz;/fortnite/Stryker,,,,,,,
25,Krisp;Noxy,20000,/fortnite/Krisp;/fortnite/Noxy,,,,,,,
26,Bylah;Peterbot,18000,/fortnite/Bylah;/fortnite/Peterbot,,,,,,,
27,PodaSai;Snayzy,18000,/fortnite/PodaSai;/fortnite/Snayzy,,,,,,,
28,JannisZ;rezon ay,18000,/fortnite/JannisZ;/fortnite/Rezon_ay,,,,,,,
29,Liwshe;Stenno,18000,/fortnite/Liwshe;/fortnite/Stenno,,,,,,,
30,Muz;Paper,18000,/fortnite/Muz;/fortnite/Paper,,,,,,,
31,Blacha;Mikson,16000,/fortnite/Blacha;/fortnite/Mikson,,,,,,,
32,Dukez;Edgey,16000,/fortnite/Dukez;/fortnite/Edgey,,,,,,,
33,Hen;Vaske1x,16000,/fortnite/Hen;/fortnite/Vaske1x,,,,,,,
34,Pepo;Zagou,16000,/fortnite/Pepo;/fortnite/Zagou,,,,,,,
35,Fnajen;Moneymaker,16000,/fortnite/Fnajen;/fortnite/Moneymaker,,,,,,,
36,MrSavage;Vadeal,14000,/fortnite/MrSavage;/fortnite/Vadeal,,,,,,,
37,Clement;Kyzen,14000,/fortnite/Clement;/fortnite/Kyzen,,,,,,,
38,BOBY;Larkpex,14000,/fortnite/Bobik1ng;/fortnite/Larkpex,,,,,,,
39,Malibuca;Th0masHD,14000,/fortnite/Malibuca;/fortnite/Th0masHD,,,,,,,
40,Source;Yumi,14000,/fortnite/Source;/fortnite/Yumi,,,,,,,
41,Fastroki;Kylie,12000,/fortnite/Fastroki;/fortnite/Kylie,,,,,,,
42,IDrop;Mappi,12000,/fortnite/IDrop;/fortnite/Mappi,,,,,,,
43,Bacca;Parz,12000,/fortnite/Bacca;/fortnite/Parz,,,,,,,
44,Cented;Pxlarized,12000,/fortnite/Cented;/fortnite/Pxlarized,,,,,,,
45,DayDus;Stain,12000,/fortnite/Karimu;/fortnite/StainZ,,,,,,,
46,Grolzz;Klown,10000,/fortnite/Grolzz;/fortnite/Klown,,,,,,,
47,Kitoz;Phzin,10000,/fortnite/Kitoz;/fortnite/Phzin,,,,,,,
48,Boltz;THORIK,10000,/fortnite/Boltz;/fortnite/Thor,,,,,,,
49,Alex;worthy,10000,/fortnite/Alex;/fortnite/Worthy,,,,,,,
50,Kwanti;Tkay,10000,/fortnite/Kwanti;/fortnite/Tkay,,,,,,,
