Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,SwizzY;Queasy;Merstach,450000,/fortnite/SwizzY;/fortnite/Queasy;/fortnite/Merstach,Global,Trios,33,33,2001000,Offline,Lyon-Décines,LDLC Arena,2025-09-06,2025-09-07,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2025
2,Vanyak3kk;Pixie;MariusCOW,300000,/fortnite/Vanyak3kk;/fortnite/Pixie;/fortnite/MariusCOW,,,,,,,,,,,
3,Setty;Japko;panzer,225000,/fortnite/Setty;/fortnite/Japko;/fortnite/Panzer,,,,,,,,,,,
4,IDrop;charyy;Kami,180000,/fortnite/IDrop;/fortnite/Charyy;/fortnite/Kami,,,,,,,,,,,
5,Rapid;Khanada;Boltz,135000,/fortnite/Rapid;/fortnite/Khanada;/fortnite/Boltz,,,,,,,,,,,
6,Darm;Demus;pixx,90000,/fortnite/Darm;/fortnite/Demus;/fortnite/Pixx,,,,,,,,,,,
7,Tjino;PabloWingu;Fredoxie,75000,/fortnite/Tjino;/fortnite/PabloWingu;/fortnite/Fredoxie,,,,,,,,,,,
8,P1ng;Wox;Malibuca,60000,/fortnite/P1ng;/fortnite/Wox;/fortnite/Malibuca,,,,,,,,,,,
9,Chap;MrSavage;rezon ay,45000,/fortnite/Chap_(Swiss_player);/fortnite/MrSavage;/fortnite/Rezon_ay,,,,,,,,,,,
10,Muz;Shadow;Sphinx,36000,/fortnite/Muz;/fortnite/Shadow;/fortnite/Sphinx,,,,,,,,,,,
11,Fazer;Phzin;K1nG,33000,/fortnite/Fazer;/fortnite/Phzin;/fortnite/K1nG,,,,,,,,,,,
12,Stryker;Tisco;Cadu,30000,/fortnite/Stryker;/fortnite/Tisco;/fortnite/Cadu,,,,,,,,,,,
13,Reet;Cooper;Curly,27000,/fortnite/Reet;/fortnite/Cooper;/fortnite/Curly,,,,,,,,,,,
14,vic0;Veno;Flickzy,27000,/fortnite/Vic0try0na;/fortnite/Veno;/fortnite/Flickzy,,,,,,,,,,,
15,Ritual;Cold;Peterbot,24000,/fortnite/Ritual;/fortnite/Cold;/fortnite/Peterbot,,,,,,,,,,,
16,Ajerss;Acorn;Pollo,24000,/fortnite/Ajerss;/fortnite/Acorn;/fortnite/Pollo,,,,,,,,,,,
17,Bacca;Parz;PXMP,21000,/fortnite/Bacca;/fortnite/Parz;/fortnite/Pxmp,,,,,,,,,,,
18,Clix;Higgs;Eomzo,21000,/fortnite/Clix;/fortnite/Batman_Bugha;/fortnite/Eomzo,,,,,,,,,,,
19,Ark;Sxhool;Salko,18000,/fortnite/Ark;/fortnite/Sxhool;/fortnite/Salko,,,,,,,,,,,
20,FoCuS;Mikson;Upl,18000,/fortnite/FoCuS;/fortnite/Mikson;/fortnite/Upl,,,,,,,,,,,
21,5aald;FKS;Hero,15000,/fortnite/5aald;/fortnite/FKS;/fortnite/Hero,,,,,,,,,,,
22,Hris;TaySon;Chico,15000,/fortnite/Hris;/fortnite/TaySon;/fortnite/Chico,,,,,,,,,,,
23,Visxals;Braydz;Aminished,15000,/fortnite/Visxals;/fortnite/Braydz;/fortnite/Aminished,,,,,,,,,,,
24,Resignz;alex;Anon,15000,/fortnite/Resignz;/fortnite/Alex;/fortnite/Anon,,,,,,,,,,,
25,Rise;yuma;Koyota,15000,/fortnite/Rise_(AS_player);/fortnite/Yuma;/fortnite/Koyota,,,,,,,,,,,
26,VortexM;m0untain;Goofy,12000,/fortnite/VortexM;/fortnite/M0untain;/fortnite/Goofy,,,,,,,,,,,
27,WeY;Gabzera;Scarpa,12000,/fortnite/WeY;/fortnite/Gabzeralindo;/fortnite/Scarpa,,,,,,,,,,,
28,Merem;wickesy;Buyuriru,12000,/fortnite/Merem;/fortnite/Wickesy_(Japanese_player);/fortnite/Buyuriru,,,,,,,,,,,
29,Snowy;saad;Rew,12000,/fortnite/Snowy;/fortnite/Saad;/fortnite/Rew,,,,,,,,,,,
30,Raito;Razl;Kimkana,12000,/fortnite/Raito;/fortnite/Razeru;/fortnite/Kimkana,,,,,,,,,,,
31,VicterV;EpikWhale;paper,9000,/fortnite/VicterV;/fortnite/EpikWhale;/fortnite/Paper,,,,,,,,,,,
32,Balor;Adapter;Mansour,9000,/fortnite/Balor;/fortnite/Adapter;/fortnite/Mansour,,,,,,,,,,,
33,Tinka;Cazi;Aspect,9000,/fortnite/Tinka;/fortnite/Cazi;/fortnite/Aspect_(OCE_player),,,,,,,,,,,
