Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Albedo;Dokn;Buyuriru,64500,/fortnite/Albedo;/fortnite/Dokn;/fortnite/Buyuriru,AS,Trios,33,33,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/Asia
2,Ruri;Pepoclip;Koyota,49500,/fortnite/Ruri;/fortnite/Pepo;/fortnite/Koyota,,,,,,,
3,Runa;raru;Yusea,30000,/fortnite/Runa;/fortnite/Raru;/fortnite/Yusea,,,,,,,
4,Qjac;Naetor;Alice,19500,/fortnite/Qjac;/fortnite/Naetor;/fortnite/Alice,,,,,,,
5,Rainy;Ess;Peterpan,13500,/fortnite/Rainy;/fortnite/Ess;/fortnite/Peterpan,,,,,,,
6,GODBAEKHO;Seak;Backho,10500,/fortnite/GODBAEKHO;/fortnite/Seak;/fortnite/Backho,,,,,,,
7,2SNgNl;Jozya;Leyyner,8100,/fortnite/2SNgNl;/fortnite/Jozya;/fortnite/Leyyner,,,,,,,
8,Toxxen;Frenzy;Standry,6300,/fortnite/Toxxen;/fortnite/Frenzy_(South_Korean_player);/fortnite/Standry,,,,,,,
9,pacoteen;clxxer;takadani,5700,/fortnite/Pacoteen;/fortnite/Jqmix;/fortnite/Takachan,,,,,,,
10,Desway;Moon;fa1zzy,4200,/fortnite/Desway;/fortnite/Moon;/fortnite/Fa1zzy,,,,,,,
11,Gyen;Poco;dbyn,2100,/fortnite/Gyen;/fortnite/Poco;/fortnite/Debuyan,,,,,,,
12,Maesar;Bot;KUREN,2100,/fortnite/Maesar;/fortnite/%E3%81%BC%E3%81%A3%E3%81%A8;/fortnite/KUREN,,,,,,,
13,Riru;Yama;bykn,2100,/fortnite/Riru;/fortnite/YAMA;/fortnite/Bykn,,,,,,,
14,SwizzY;Zotax;Shamokiy,2100,/fortnite/SwizzY;/fortnite/Zotax;/fortnite/Shamokiy,,,,,,,
15,WildHawk;Maufin;Rimr,2100,/fortnite/WildHawk;/fortnite/Maufin;/fortnite/Rimr,,,,,,,
16,Zagou;Flot0r;Goma,1800,/fortnite/Zagou;/fortnite/Flot0r;/fortnite/Goma,,,,,,,
17,AdaM;Cigol;Zuity,1800,/fortnite/AdaM;/fortnite/Cigol;/fortnite/Zuity,,,,,,,
18,miya;Fram;Pina,1800,/fortnite/Miya;/fortnite/Fram;/fortnite/Pina,,,,,,,
19,Spayed;Shuto;Jaemon,1800,/fortnite/Spayed;/fortnite/Shuto;/fortnite/Jaemon,,,,,,,
20,Minipiyo;Cynical;Tsuruhashi,1800,/fortnite/Minipiyo;/fortnite/Cynical_(Japanese_player);/fortnite/Tsuruhashi,,,,,,,
21,TinkerBel1x;SEKO;KENTAch,1500,/fortnite/Tinkerbell;/fortnite/%E3%81%9B%E3%81%93%E3%81%95%E3%81%BE;/fortnite/KENTAch,,,,,,,
22,Rialy;Kogane;Kagetora,1500,/fortnite/Rialy;/fortnite/Kogane;/fortnite/Kagetora,,,,,,,
23,Carne;Vall;Reyt,1500,/fortnite/Carne;/fortnite/Vall;/fortnite/Reyt,,,,,,,
24,Koa;ALBB;Clemens,1500,/fortnite/Koa;/fortnite/ALBB;/fortnite/Clemens,,,,,,,
25,Mainlyox;Rio;Rui,1500,/fortnite/Mainly;/fortnite/Rio;/fortnite/Rui,,,,,,,
26,Syamu;Pachi;Asa,1200,/fortnite/Syamu;/fortnite/Pachi;/fortnite/Asa_(Japanese_player),,,,,,,
27,Masatx;Duduzera;Shina,1200,/fortnite/Masatx;/fortnite/Duduzera;/fortnite/Shina,,,,,,,
28,Shunsyan;RizArt;Bob,1200,/fortnite/Shunsyan;/fortnite/RizArt;/fortnite/Bob,,,,,,,
29,Otome;Tzuyu;LODSTK,1200,/fortnite/Otome;/fortnite/Tzuyu;/fortnite/LODSTK,,,,,,,
30,Maruo;NoeL;onichan,1200,/fortnite/Maruo;/fortnite/NoeL_(Japanese_player_2);/fortnite/Onichan,,,,,,,
31,Herokis;Mikufo;Bunbunchi,1200,/fortnite/Herokis;/fortnite/Mikufo;/fortnite/Bunbunchi,,,,,,,
32,Fire;RazL;Shinck,1200,/fortnite/Fire;/fortnite/RazL;/fortnite/Shinck,,,,,,,
33,TORAA;soufini;Ank,1200,/fortnite/TORAA;/fortnite/Soufini;/fortnite/Ank,,,,,,,
