Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Opai;Phzin;GSX,180000,/fortnite/Opai;/fortnite/Phzin;/fortnite/GSX,BR,Trios,33,33,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/Brazil
2,H4wwk;WeY;Nov1ce,141000,/fortnite/H4wwk;/fortnite/WeY;/fortnite/Nov1ce,,,,,,,
3,Fishy;Riquelmee;Sanku,84000,/fortnite/Fishy;/fortnite/Riquelmee;/fortnite/Sanku,,,,,,,
4,Rynm;KBR;Diguera,57000,/fortnite/Rynm;/fortnite/KBR;/fortnite/Diguera,,,,,,,
5,Guneves;Edson;Dream,36000,/fortnite/Guneves;/fortnite/Edson;/fortnite/Dream,,,,,,,
6,Pattaty;Histtory;Kitoz,28500,/fortnite/Pattaty;/fortnite/Histtory;/fortnite/Kitoz,,,,,,,
7,Cadu;Seeyun;EdRoadToGlory,24000,/fortnite/Cadu;/fortnite/Seeyun;/fortnite/EdRoadToGlory,,,,,,,
8,Frans;Filipe;Jpsk1ng,19500,/fortnite/Frans;/fortnite/Filipe;/fortnite/Jpsk1ng,,,,,,,
9,Kurtz;OriGinS;KING,15900,/fortnite/Kurtz;/fortnite/OriGinS;/fortnite/KING,,,,,,,
10,Suetam;Spitflow;K1nG,12000,/fortnite/Suetam;/fortnite/Spitflow;/fortnite/K1nG,,,,,,,
11,Frosty;Bagu;Redlee,6000,/fortnite/Frosty;/fortnite/Bagu;/fortnite/Redlee,,,,,,,
12,KaykyGames;Insano;LORD,6000,/fortnite/KaykyGames;/fortnite/Insano;/fortnite/LORD,,,,,,,
13,Liimaa;Xeat;Facu,6000,/fortnite/Liimaa;/fortnite/Xeat;/fortnite/Facu,,,,,,,
14,Collet;Mojak;AG1RRE,6000,/fortnite/Collet;/fortnite/Mojak;/fortnite/AG1RRE,,,,,,,
15,Dott1;Barroso;Scarpa,6000,/fortnite/Dott1;/fortnite/Barroso;/fortnite/Scarpa,,,,,,,
16,Tortuga;Carvajal;TwistZ,4800,/fortnite/Tortuga;/fortnite/Carvajal;/fortnite/TwistZ,,,,,,,
17,Nikti;GxT;Nathes,4800,/fortnite/Nikti;/fortnite/GxT;/fortnite/Nathes,,,,,,,
18,Pingu;manocaki;HuGODY,4800,/fortnite/Pingu;/fortnite/Manocaki;/fortnite/HuGODY,,,,,,,
19,RustyK;Tecne;Fazer,4800,/fortnite/RustyK;/fortnite/Tecne;/fortnite/Fazer,,,,,,,
20,Master;Felipersa;Nicks,4800,/fortnite/Master;/fortnite/Persa;/fortnite/Nicks,,,,,,,
21,Fenix;Retake;Klose,4200,/fortnite/Fenix_(Brazilian_player);/fortnite/Retake;/fortnite/Klose,,,,,,,
22,Nutifps;Diamond;KALIFA,4200,/fortnite/Nutifps;/fortnite/Diamond;/fortnite/KALIFA,,,,,,,
23,Sheco;Leleo;Lorax,4200,/fortnite/Sheco;/fortnite/Leleo;/fortnite/Lorax,,,,,,,
24,Yagami;Caduzin;Zk,4200,/fortnite/Yagami;/fortnite/Caduzin;/fortnite/Zk,,,,,,,
25,Kash;Gangi;Magni,4200,/fortnite/Kash;/fortnite/Gangi;/fortnite/Magni,,,,,,,
26,Pulga;Pina;Digai,3300,/fortnite/Pulga;/fortnite/Pina_(Brazilian_player);/fortnite/Digai,,,,,,,
27,santidead;Keicox;Fffakkz,3300,/fortnite/Santidead;/fortnite/Keicox;/fortnite/Fffakkz,,,,,,,
28,Carregado;Gabrielzin;Lucxss,3300,/fortnite/Carregado;/fortnite/Gabrielzin;/fortnite/Lucxss_(Brazilian_player_2),,,,,,,
29,Sweet;Champi;XJosman,3300,/fortnite/Sweet;/fortnite/Champi;/fortnite/XJosman,,,,,,,
30,BrYANN;Gustyx;Robot,3300,/fortnite/BrYANN;/fortnite/Gustyx;/fortnite/Robot,,,,,,,
31,Betto;Coca;Navars,3300,/fortnite/Betto;/fortnite/Coca;/fortnite/Navars,,,,,,,
32,Pedrito;Trueno;XLuch,3300,/fortnite/Pedrito;/fortnite/Trueno;/fortnite/XLuch,,,,,,,
33,Unsual;Opticaal;Divecxz,3300,/fortnite/Unsual;/fortnite/Opticaal;/fortnite/Divecxz,,,,,,,
