Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Hen;TaySon;Chapix,600000,/fortnite/Hen;/fortnite/TaySon;/fortnite/Chapix,EU,Trios,33,33,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/Europe
2,Setty;Kami;Teeq,450000,/fortnite/Setty;/fortnite/Kami;/fortnite/Teeq,,,,,,,
3,Queasy;Anas;Th0masHD,270000,/fortnite/Queasy;/fortnite/Anas;/fortnite/Th0masHD,,,,,,,
4,Vadeal;JannisZ;Noahreyli,180000,/fortnite/Vadeal;/fortnite/JannisZ;/fortnite/Noahreyli,,,,,,,
5,Safik;1lushaFN;Putrick,120000,/fortnite/Safik;/fortnite/1lusha;/fortnite/Putrick,,,,,,,
6,L1nk;Fury Legendary;97default,90000,/fortnite/L1nk;/fortnite/Fury_Legendary;/fortnite/97default,,,,,,,
7,Dyox;Crow VII;Joseeh,75000,/fortnite/Dyox;/fortnite/Crow_VII;/fortnite/Joseeh,,,,,,,
8,Kefyy;pkr29;Mlody,60000,/fortnite/Kefyy;/fortnite/Pkr29;/fortnite/Mlody,,,,,,,
9,FlowiS;Hellfire;Skram,54000,/fortnite/FlowiS;/fortnite/Hellfire;/fortnite/Skram,,,,,,,
10,Scriwy;Shady;Stompy,44400,/fortnite/Scriwy;/fortnite/Shady;/fortnite/Stompy,,,,,,,
11,FORK;jimke;Chico,19500,/fortnite/FORK;/fortnite/Jimke;/fortnite/Chico,,,,,,,
12,PabloWingu;Bloomy;Swag,19500,/fortnite/PabloWingu;/fortnite/Bloomy;/fortnite/Swag,,,,,,,
13,Hottie;ETq;elokratz,19500,/fortnite/Hottie;/fortnite/ETq;/fortnite/Elokratz,,,,,,,
14,Fastroki;aqua;Rezon ay,19500,/fortnite/Fastroki;/fortnite/Aqua;/fortnite/Rezon_ay,,,,,,,
15,Endretta;Benjyfishy;MrSavage,19500,/fortnite/Endretta;/fortnite/Benjyfishy;/fortnite/MrSavage,,,,,,,
16,Karma;JoeFN;Kylie,15000,/fortnite/Karma;/fortnite/JoeFN;/fortnite/Kylie,,,,,,,
17,Floki;Clement;Decyptos,15000,/fortnite/Floki;/fortnite/Clement;/fortnite/Decyptos,,,,,,,
18,Fornax;Aurero;P0ul,15000,/fortnite/Fornax;/fortnite/Aurero;/fortnite/P0ul,,,,,,,
19,xsweeze;Andilex;4zr,15000,/fortnite/Xsweeze;/fortnite/Andilex;/fortnite/4zr,,,,,,,
20,DKS;Grayinjo;Mirza,15000,/fortnite/DKS;/fortnite/Grayinjo;/fortnite/Mirza,,,,,,,
21,Flyy;Ghosty4k;WaiZ,12000,/fortnite/Flyy;/fortnite/Ghosty4k;/fortnite/WaiZ,,,,,,,
22,Skite;Bubak;OvLDER,12000,/fortnite/Skite;/fortnite/Bubak;/fortnite/OvLDER,,,,,,,
23,Umplify;Saevid;Matsoe,12000,/fortnite/Umplify;/fortnite/Saevid;/fortnite/Matsoe,,,,,,,
24,TuNa;Mikson;Sneake,12000,/fortnite/TuNa;/fortnite/Mikson;/fortnite/Sneake,,,,,,,
25,Pinq;Nebs;TruleX,12000,/fortnite/Pinq;/fortnite/Nebs;/fortnite/TruleX,,,,,,,
26,Kirb1;Banw1se19;ks1light,9300,/fortnite/Kirb1;/fortnite/Banw1se19;/fortnite/Ks1light,,,,,,,
27,Merstach;Malibuca;shizogod,9300,/fortnite/Merstach;/fortnite/Malibuca;/fortnite/Shizogod,,,,,,,
28,Skydeun;bitflox;Cookie,9300,/fortnite/Skydeun;/fortnite/Bitflox;/fortnite/Cookie,,,,,,,
29,Kiryache32;Stormyrite;Toose,9300,/fortnite/Kiryache32;/fortnite/Stormyrite;/fortnite/Toose,,,,,,,
30,Aury;FiR3hUNTER;Art1st,9300,/fortnite/Aury;/fortnite/FiR3hUNTER;/fortnite/Art1st,,,,,,,
31,Michael;AstroSMZ;Verox,9300,/fortnite/Michael;/fortnite/AstroSMZ;/fortnite/Verox,,,,,,,
32,Smapfy;Voun;Blacha,9300,/fortnite/Smapfy;/fortnite/Voun;/fortnite/Blacha,,,,,,,
33,Laxus;BadSniper;Force,9300,/fortnite/Laxus;/fortnite/BadSniper;/fortnite/Force,,,,,,,
