Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Hellonsteam;Murloc;NetloV,51000,/fortnite/Hellonsteam;/fortnite/Murloc;/fortnite/NetloV,ME,Trios,33,33,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/Middle_East
2,Snowvaks;Raed;Snowyka,40000,/fortnite/Snowvaks;/fortnite/Raed;/fortnite/Snowyka,,,,,,,
3,FHD;Yonx;NM7,24000,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx;/fortnite/NM7,,,,,,,
4,Spy;Rapit;Rv,15000,/fortnite/Spy;/fortnite/Rapit;/fortnite/Rv,,,,,,,
5,FKS;iiUniit;P5EK,10500,/fortnite/FKS;/fortnite/Unit;/fortnite/P5EK,,,,,,,
6,DRaFTell;Smsom;Rakan,8400,/fortnite/DRaFTell;/fortnite/Smsom;/fortnite/Rakan,,,,,,,
7,Phantom;Kai;AbuFal7,6900,/fortnite/Phantom;/fortnite/Kai;/fortnite/AbuFal7,,,,,,,
8,Hulks;3mory;Bleed,5100,/fortnite/Hulks;/fortnite/3mory;/fortnite/Bleed,,,,,,,
9,Balor;Adapter;Mansour,4500,/fortnite/Balor;/fortnite/Adapter;/fortnite/Mansour,,,,,,,
10,Xx731;Hero;KiritoKun,3300,/fortnite/Xx731;/fortnite/Hero;/fortnite/KiritoKun,,,,,,,
11,Naifma7;Jounior;Mish,1800,/fortnite/Naifma7;/fortnite/Jounior;/fortnite/Mish,,,,,,,
12,VagnaR;I4xPRO;Dexefite,1800,/fortnite/VagnaR;/fortnite/I4xPRO;/fortnite/Dexefite,,,,,,,
13,Modisk;Fahad;Metab,1800,/fortnite/Modisk;/fortnite/Fahad;/fortnite/Metab,,,,,,,
14,KuKi;Souriano;Nyle,1800,/fortnite/KuKi;/fortnite/Souriano;/fortnite/Nyle,,,,,,,
15,M7SN;Saud;LORDUID,1800,/fortnite/M7SN;/fortnite/Saud;/fortnite/LORDUID,,,,,,,
16,Krool;LeziX;Msg,1500,/fortnite/Krool;/fortnite/LeziX;/fortnite/Msg,,,,,,,
17,QnDx;Nachiiri;Gntl,1500,/fortnite/QnDx;/fortnite/Nachiiri;/fortnite/GntL,,,,,,,
18,Darkfiez;Maximus;Salman,1500,/fortnite/Darkfiez;/fortnite/Maximus;/fortnite/Salman,,,,,,,
19,Viiroos;Naif;Lord,1500,/fortnite/Viiroos;/fortnite/Naif;/fortnite/Lord,,,,,,,
20,Kaiz;Originz;Kovolski,1500,/fortnite/Kaiz;/fortnite/Originz;/fortnite/Kovolski,,,,,,,
21,Puma;oEthrieum;NOTTRX,1200,/fortnite/Pumero;/fortnite/OEthrieum;/fortnite/NOTTRX,,,,,,,
22,Poor;Mshary;Malkawi,1200,/fortnite/Poor;/fortnite/Mshary_(Mshari_Khaled);/fortnite/Malkawi,,,,,,,
23,RsTn;Escdark;oMxP,1200,/fortnite/RsTn;/fortnite/Escdark;/fortnite/OMxP,,,,,,,
24,C2razy;RdLz;Azzx,1200,/fortnite/C2razy;/fortnite/RdLz;/fortnite/Azzx,,,,,,,
25,Fzkl;Kalgamer710;TrikShotz,1200,/fortnite/Fzkl;/fortnite/Kalgamer710;/fortnite/TrikShotz,,,,,,,
26,MK;FT;Alsahm,900,/fortnite/MK;/fortnite/FT;/fortnite/Alsahm,,,,,,,
27,SuL;LvR;SYQ,900,/fortnite/SuL;/fortnite/LvR;/fortnite/SYQ,,,,,,,
28,FAISAL;Be LiKeWaTeR;Wqzzi,900,/fortnite/FAISAL;/fortnite/Be_LiKeWaTeR;/fortnite/Wqzzi,,,,,,,
29,3jmy;Kard;Smasher,900,/fortnite/3jmy;/fortnite/Kard;/fortnite/Smasher,,,,,,,
30,Map;Lozer;Tacky,900,/fortnite/Map;/fortnite/Lozer;/fortnite/Tacky,,,,,,,
31,A7MD;Tax;Fw,900,/fortnite/A7mdRqx;/fortnite/Tax_(ME_player);/fortnite/Fw,,,,,,,
32,L8afh;PNR;Kroger,900,/fortnite/L8afh;/fortnite/PNR;/fortnite/Kroger,,,,,,,
33,QISI;Logic;Sweatykun,900,/fortnite/QISI;/fortnite/Logic;/fortnite/Sweatykun,,,,,,,
