Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Dukez;Mero;Bugha,285000,/fortnite/Dukez;/fortnite/Mero;/fortnite/Bugha,NAE,Trios,33,33,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/North_America_East
2,Jamper;Deyy;Tragix,210000,/fortnite/Jamper;/fortnite/Deyy;/fortnite/Tragix,,,,,,,
3,Slackes;Acorn;Jahq,126000,/fortnite/Slackes;/fortnite/Acorn;/fortnite/Jahq,,,,,,,
4,Bucke;Peterbot;MackWood,84000,/fortnite/Bucke;/fortnite/Peterbot;/fortnite/MackWood,,,,,,,
5,Ceice;Cold;Elitxe,54000,/fortnite/Ceice;/fortnite/Cold;/fortnite/Elitxe,,,,,,,
6,Commandment;Cented;Stretch,42000,/fortnite/Commandment;/fortnite/Cented;/fortnite/Stretch,,,,,,,
7,Nittle;Casqer;clarityG,36000,/fortnite/Nittle;/fortnite/Casqer;/fortnite/ClarityG,,,,,,,
8,Ajerss;Saf;Khanada,30000,/fortnite/Ajerss;/fortnite/Saf;/fortnite/Khanada,,,,,,,
9,Degen;Nosh;Eomzo,24000,/fortnite/Degen;/fortnite/Nosh;/fortnite/Eomzo,,,,,,,
10,DeRoller;Speguu;Charlie,19500,/fortnite/DeRoller;/fortnite/Speguu;/fortnite/Charlie,,,,,,,
11,skqttles;Justice;Userz,9000,/fortnite/Skqttles;/fortnite/Justice;/fortnite/Userz,,,,,,,
12,Zlem;Tkay;Chukky,9000,/fortnite/Zlem;/fortnite/Tkay;/fortnite/Chukky,,,,,,,
13,PaMstou;wCarey;Fatch,9000,/fortnite/PaMstou;/fortnite/WCarey;/fortnite/Fatch,,,,,,,
14,Osp;Visxals;Fryst,9000,/fortnite/Osp;/fortnite/Visxals;/fortnite/Fryst,,,,,,,
15,Av;Dmur;Edan,9000,/fortnite/Av;/fortnite/Dmur;/fortnite/Edan,,,,,,,
16,Okis;Nani;Dusky,6900,/fortnite/Okis;/fortnite/Nani;/fortnite/Dusky,,,,,,,
17,Voil;Xccept;Snake,6900,/fortnite/Voil;/fortnite/Xccept;/fortnite/Snake,,,,,,,
18,Cobolt;Sparkg;Aminished,6900,/fortnite/Cobolt;/fortnite/Sparkg;/fortnite/Aminished,,,,,,,
19,Narwhal;Bully;Tabnae,6900,/fortnite/Narwhal;/fortnite/Bully;/fortnite/Tabnae,,,,,,,
20,Muz;Joji;Rocaine,6900,/fortnite/Muz;/fortnite/Joji;/fortnite/Rocaine,,,,,,,
21,Nexy;Crackly;Wrigley,5850,/fortnite/Nexy;/fortnite/Crackly;/fortnite/Wrigley,,,,,,,
22,Mikey;Jays;Smqcked,5850,/fortnite/Mikey;/fortnite/Jays;/fortnite/Smqcked,,,,,,,
23,Brycx;Cam;Pdplague,5850,/fortnite/Brycx;/fortnite/Cam;/fortnite/Pdplague,,,,,,,
24,Kreo;Knight;RogueShark,5850,/fortnite/Kreo;/fortnite/Knight;/fortnite/RogueShark,,,,,,,
25,Shadow;Jayth;Savaje,5850,/fortnite/Shadow;/fortnite/Jayth;/fortnite/Savaje,,,,,,,
26,tiekko;Nosn;Gold,4500,/fortnite/Tiekko;/fortnite/Nosn;/fortnite/Gold,,,,,,,
27,Blakeps;Scoped;verT,4500,/fortnite/Blakeps;/fortnite/Scoped;/fortnite/VerT,,,,,,,
28,Megga;Pxmp;Dubs,4500,/fortnite/Megga;/fortnite/Pxmp;/fortnite/Dubs,,,,,,,
29,Dom;Chimp;Ganzo,4500,/fortnite/Dom;/fortnite/Chimp;/fortnite/Ganzo,,,,,,,
30,Kn1pher;Doniee;Simple,4500,/fortnite/Kn1pher;/fortnite/Doniee;/fortnite/Simple,,,,,,,
31,Crumble;Marzz_OW;Bank,4500,/fortnite/Crumble;/fortnite/Marzz_OW;/fortnite/BankTeller,,,,,,,
32,Mudzi;Mnrr;Yuddn,4500,/fortnite/Mudzi;/fortnite/Mnrr;/fortnite/Yuddn,,,,,,,
33,Neeqo;Nounzy;Pxlarized,4500,/fortnite/Neeqo;/fortnite/Nounzy;/fortnite/Pxlarized,,,,,,,
