Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Arkhram;Reet;EpikWhale,105000,/fortnite/Arkhram;/fortnite/Reet;/fortnite/EpikWhale,NAW,Trios,33,33,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/North_America_West
2,poffiee;cyrzr;eclipseNA,81000,/fortnite/Poffiee;/fortnite/Cyrzr;/fortnite/EclipseNA,,,,,,,
3,andyvencha;Criizux;Jelty,48000,/fortnite/Andyvencha;/fortnite/Criizux;/fortnite/Jelty,,,,,,,
4,g0dku;Glace;fecoy,31500,/fortnite/G0dku;/fortnite/Glace;/fortnite/Fecoy,,,,,,,
5,Middi;Nico;Chris,21000,/fortnite/Middi;/fortnite/Nico;/fortnite/Chris,,,,,,,
6,RichHomieQuinn;WAVE;Kewl,16500,/fortnite/RichHomieQuinn;/fortnite/WAVE;/fortnite/Kewl,,,,,,,
7,Frapai;Blizy;Nate,13500,/fortnite/Frapai;/fortnite/Blizy;/fortnite/Nate_(NA_player),,,,,,,
8,Grim;Yumi;Squishy,10500,/fortnite/Grim;/fortnite/Yumi;/fortnite/Squishy,,,,,,,
9,Rehx;favs;Snacky,9000,/fortnite/Rehx;/fortnite/Favs;/fortnite/Snacky,,,,,,,
10,Kenshi;Maken;Jay,6900,/fortnite/Kenshi;/fortnite/Maken;/fortnite/Jay,,,,,,,
11,Bacca;Nitrix;Kytrex,3300,/fortnite/Bacca;/fortnite/Nitrix;/fortnite/Kytrex,,,,,,,
12,Rexzi;Dynamic;Zehlo,3300,/fortnite/Rexzi;/fortnite/Dynamic;/fortnite/Zehlo,,,,,,,
13,Ark;Aiden;Nigel,3300,/fortnite/Ark_(NA_player_2);/fortnite/Aiden;/fortnite/Nigel,,,,,,,
14,Mony;Hov;Reguletor,3300,/fortnite/Mony;/fortnite/Hov;/fortnite/Reguletor,,,,,,,
15,Chicken;Lush;Mechton,3300,/fortnite/Chicken;/fortnite/Lush;/fortnite/Mechton,,,,,,,
16,Cash;Jibba;natee,2850,/fortnite/Cash;/fortnite/Jibba;/fortnite/Natee,,,,,,,
17,jayrosez;Dog;Zinqxz,2850,/fortnite/Jayrosez;/fortnite/Dog;/fortnite/Zinqxz,,,,,,,
18,Symetrical;Temple;wavyjacob,2850,/fortnite/Symetrical;/fortnite/Temple;/fortnite/Wavyjacob,,,,,,,
19,Trashy;Verny;exe,2850,/fortnite/Trashy_(NAW_player);/fortnite/Verny;/fortnite/Exe,,,,,,,
20,Jarritos;Keto;Walay,2850,/fortnite/Jarritos;/fortnite/Keto;/fortnite/Walay,,,,,,,
21,defiable;Salko;Kaboo,2400,/fortnite/Defiable;/fortnite/Salko;/fortnite/Kaboo,,,,,,,
22,Combxt;Zays;Ordepz,2400,/fortnite/Combxt;/fortnite/Zays;/fortnite/Ordepz,,,,,,,
23,Nach;G5RC;Antraxs,2400,/fortnite/Nach;/fortnite/G5RC;/fortnite/Antraxs,,,,,,,
24,Drew;Kuhvn;Cheatrs,2400,/fortnite/Drew;/fortnite/Kuhvn;/fortnite/Cheatrs,,,,,,,
25,Flixx;Mudio;Sirbrian,2400,/fortnite/Flixx;/fortnite/Mudio;/fortnite/Brian,,,,,,,
26,Falconer;KadenOX;4DRStorm,1650,/fortnite/Falconer;/fortnite/KadenOX;/fortnite/4DRStorm,,,,,,,
27,Jagveer;Batman Bugha;Wheels,1650,/fortnite/Jagveer;/fortnite/Batman_Bugha;/fortnite/Wheels,,,,,,,
28,Genshink;DragonRG;Deih,1650,/fortnite/Genshink;/fortnite/DragonRG;/fortnite/Deih,,,,,,,
29,Quickamon;Rasso;Yawn,1650,/fortnite/Quickamon;/fortnite/Rasso;/fortnite/Yawn,,,,,,,
30,Ghouls;Pollo;Vlux,1650,/fortnite/Ghouls;/fortnite/Pollo;/fortnite/Vlux,,,,,,,
31,Lime;Chip;Rex,1650,/fortnite/Lime;/fortnite/Chip;/fortnite/Rex,,,,,,,
32,fakie;Yuki;Izo,1650,/fortnite/fakie;/fortnite/Yuki;/fortnite/Izo,,,,,,,
33,Slick;ChickenItza;Alliege,1650,/fortnite/Slick;/fortnite/ChickenItza;/fortnite/Alliege,,,,,,,
