Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,Suns;Tuii;Alex,39000,/fortnite/Suns;/fortnite/Tuii;/fortnite/Alex,OCE,Trios,33,33,151800,Online,Oceania,,2021-11-20,2021-11-21,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2021/Grand_Royale/Oceania
2,Ronin;Scammed;Xalkerr,30000,/fortnite/Ronin_(OCE_player);/fortnite/Scammed;/fortnite/Xalkerr,,,,,,,,,,,
3,VortexM;Jace;Sunz,18000,/fortnite/VortexM;/fortnite/Jace;/fortnite/Sunz,,,,,,,,,,,
4,Pumpkin;volx;Looter,12000,/fortnite/Pumpkin;/fortnite/Volx;/fortnite/Looter,,,,,,,,,,,
5,Sorif;Oreo;Eshz,7500,/fortnite/Sorif;/fortnite/Oreo;/fortnite/Eshz,,,,,,,,,,,
6,Jordan;Jesse;Radius,6000,/fortnite/Jordan;/fortnite/Jesse;/fortnite/Radius,,,,,,,,,,,
7,Zedox;Sio;raiku,5250,/fortnite/Zedox;/fortnite/Sio;/fortnite/Raiku,,,,,,,,,,,
8,Spiker;Fab;Keemo,3900,/fortnite/Spiker;/fortnite/Fab;/fortnite/Keemo,,,,,,,,,,,
9,Jynx;danath;worthy,3450,/fortnite/Jynx;/fortnite/Danath;/fortnite/Worthy,,,,,,,,,,,
10,Remi;Zanz;Radial,2700,/fortnite/Remi;/fortnite/Zanz;/fortnite/Radial,,,,,,,,,,,
11,Apolox;Basil;Bhraxyy,1500,/fortnite/Apolox;/fortnite/Basil;/fortnite/Bhrax,,,,,,,,,,,
12,Eggy;Macheew;Kazuki,1500,/fortnite/Eggy;/fortnite/Macheew;/fortnite/Kazuki,,,,,,,,,,,
13,Goeg;Korq;skits,1500,/fortnite/Goeg;/fortnite/Korq;/fortnite/Skits,,,,,,,,,,,
14,Qeaxzy;MoozMah;Gille,1500,/fortnite/Qeaxzy;/fortnite/MoozMah;/fortnite/Gille,,,,,,,,,,,
15,Flenny;Cynical;Cyrex,1500,/fortnite/Flenny;/fortnite/Cynical;/fortnite/Cyrex,,,,,,,,,,,
16,Cyte;Gazer;Baily,1200,/fortnite/Cyte;/fortnite/Gazer;/fortnite/Baily,,,,,,,,,,,
17,Newbatoon;50;PhluxZy,1200,/fortnite/Newbatoon;/fortnite/50;/fortnite/PhluxZy,,,,,,,,,,,
18,Asfit;Oatley;Price,1200,/fortnite/Asfit;/fortnite/Oatley;/fortnite/Price,,,,,,,,,,,
19,angy;Rhyzah;Mysty,1200,/fortnite/Angy;/fortnite/Rhyzah;/fortnite/Mysty,,,,,,,,,,,
20,Megadan;Sah;Pogue,1200,/fortnite/Megadan;/fortnite/Sah;/fortnite/Pogue,,,,,,,,,,,
21,Jvano;Bluezie;Mania,900,/fortnite/Jvano;/fortnite/Bluezie;/fortnite/Mania,,,,,,,,,,,
22,2Faulty;Mooteea;LunR,900,/fortnite/2Faulty;/fortnite/Mooteea;/fortnite/LunR,,,,,,,,,,,
23,District;Bantis;Tekmarr,900,/fortnite/District;/fortnite/Bantis;/fortnite/Tekmarr,,,,,,,,,,,
24,Bathan;Kuda;Rel,900,/fortnite/Bathan;/fortnite/Kuda;/fortnite/Rel,,,,,,,,,,,
25,Nio;Astoh;Mammal,900,/fortnite/Nio;/fortnite/Astoh;/fortnite/Mammal,,,,,,,,,,,
26,Maihaze;Synxk;KSlayah,900,/fortnite/Maihaze;/fortnite/Synxk;/fortnite/KSlayah,,,,,,,,,,,
27,Daresome;Sprout;Soaked,750,/fortnite/Daresome;/fortnite/Sprout;/fortnite/Soaked,,,,,,,,,,,
28,Movrickz;Crippa;BMP,750,/fortnite/Movrickz;/fortnite/Crippa_(OCE_player);/fortnite/BMP,,,,,,,,,,,
29,Blynk;Zuruuyu;Trexy,750,/fortnite/Blynk;/fortnite/Zuruuyu;/fortnite/Trexy,,,,,,,,,,,
30,Fisher;Crawchy;Bren,750,/fortnite/Fisher;/fortnite/Crawchy;/fortnite/Bren,,,,,,,,,,,
31,Maw;Grizz;AtuaGames,750,/fortnite/Maw;/fortnite/Grizz;/fortnite/AtuaGames,,,,,,,,,,,
32,Relay;willah;Arken,750,/fortnite/Relay;/fortnite/Willah;/fortnite/Arken,,,,,,,,,,,
33,Holtay;Toyswag;Blynks,750,/fortnite/Holtay;/fortnite/Toyswag;/fortnite/Blynks,,,,,,,,,,,
