Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,TAKAMURA;RizArt;Maufin,60000,/fortnite/Ruri;/fortnite/RizArt;/fortnite/Maufin,AS,Trios,33,32,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals/Asia
2,SinOoh;Hood.J;Peterpan,27000,/fortnite/SinOoh;/fortnite/Hood.J;/fortnite/Peterpan,,,,,,,
3,Gepard;Minty;Albedo,18000,/fortnite/Gepard;/fortnite/Minty;/fortnite/Albedo,,,,,,,
4,Arisakaaa;Daruma;VanilLa,6600,/fortnite/Arisakaaa;/fortnite/Daruma;/fortnite/VanilLa,,,,,,,
5,13;Aduo;WenQian,2400,/fortnite/13;/fortnite/Aduo;/fortnite/WenQian,,,,,,,
6,Sad;Aimbot.exe;1eol,2400,/fortnite/Sad_(Chinese_player);/fortnite/Aimbot.exe;/fortnite/1eol,,,,,,,
7,JAG;Horde;Qoo,2400,/fortnite/JAG;/fortnite/Horde;/fortnite/Qoo,,,,,,,
8,XiaoTian;Evilmare;QianLan,2400,/fortnite/XiaoTian;/fortnite/Evilmare;/fortnite/QianLan,,,,,,,
9,Yunseopp;Ming;Eraser,1200,/fortnite/Yunseopp;/fortnite/Ming;/fortnite/Eraser,,,,,,,
10,KBB;YuWang;XiaoJie,1200,/fortnite/KBB;/fortnite/YuWang;/fortnite/XiaoJie,,,,,,,
11,Qjac;CeRes;Yusea,1200,/fortnite/Qjac;/fortnite/CeRes;/fortnite/Yusea,,,,,,,
12,Swillium;Zuko;fa1zzу,1200,/fortnite/Swillium;/fortnite/Zuko;/fortnite/Fa1zzy,,,,,,,
13,Taytan;RazL;Kurukuru,1200,/fortnite/Taytan;/fortnite/RazL;/fortnite/Kurukuru,,,,,,,
14,Shunsyan;Tako;Peta,1200,/fortnite/Shunsyan;/fortnite/Tako;/fortnite/Peta,,,,,,,
15,KUREN;Yasenoppo;Tatto,1200,/fortnite/KUREN;/fortnite/Yasenoppo;/fortnite/Tatto,,,,,,,
16,Naetor;Berry;Tanjiro,1200,/fortnite/Naetor;/fortnite/Berry;/fortnite/Tanjiro,,,,,,,
17,Nezar;ChickeNoob;Lexqss,1200,/fortnite/Nezar;/fortnite/ChickeNoob;/fortnite/Lwx,,,,,,,
18,Jeongwoo;esteban;NinGDO,1200,/fortnite/Jeongwoo;/fortnite/Esteban;/fortnite/NinGDO,,,,,,,
19,Hking11;Infanta;Saber,1200,/fortnite/Hking11;/fortnite/Infanta;/fortnite/Saber,,,,,,,
20,MiJia;XCC;Fire,1200,/fortnite/MiJia;/fortnite/XCC;/fortnite/Fire_(Chinese_player),,,,,,,
21,MacChan;Hoon;Sopra,1200,/fortnite/MacChan;/fortnite/Hoon;/fortnite/Sopra,,,,,,,
22,Loco;BanXiu;Banana7,1200,/fortnite/Loco;/fortnite/BanXiu;/fortnite/Banana7,,,,,,,
23,Chipson;Jozya;riki,1200,/fortnite/Chipson;/fortnite/Jozya;/fortnite/Riki,,,,,,,
24,Paengdol;GallaxyPK;Aimhero_o,1200,/fortnite/Paengdol;/fortnite/GallaxyPK;/fortnite/Aimhero_o,,,,,,,
25,Chocoluv;amerain;Debs,1200,/fortnite/Chocoluv;/fortnite/Amerain;/fortnite/Debs,,,,,,,
26,FaxFox;SexyBoy;Won,1200,/fortnite/FaxFox;/fortnite/SexyBoy;/fortnite/Won,,,,,,,
27,Kasima;Shin gwan;Backho,1200,/fortnite/Kasima;/fortnite/Shin_gwan;/fortnite/Backho,,,,,,,
28,Toppy;UyuRiru;Francisco,1200,/fortnite/Toppy;/fortnite/UyuRiru;/fortnite/Francisco,,,,,,,
29,Maesar;Shironeko;Melon,1200,/fortnite/Maesar;/fortnite/Shironeko;/fortnite/Melon,,,,,,,
30,HardCarry;Envy;Spidermon,1200,/fortnite/HardCarry;/fortnite/Envy;/fortnite/Spidermon,,,,,,,
31,Nasubi;Phate;Mentamaa,1200,/fortnite/Nasubi;/fortnite/Phate;/fortnite/Mentamaa,,,,,,,
32,Apomalu;Nemutaiyo;Arkrin,1200,/fortnite/Apomalu;/fortnite/Nemutaiyo;/fortnite/Arkrin,,,,,,,
