Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Leleo;Kurtz;wisheydp,120000,/fortnite/Leleo;/fortnite/Kurtz;/fortnite/Wisheydp,Global,Trios,33,32,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals
2,ToxiC;xOwN;K1nG,54000,/fortnite/ToxiC;/fortnite/XOwN;/fortnite/K1nG,,,,,,,
3,Master;drakoNz;BlackoutZ,36000,/fortnite/Master;/fortnite/DrakoNz;/fortnite/BlackoutZ,,,,,,,
4,Snow;Avlr;technoviking,13200,/fortnite/Snow_(Brazilian_player);/fortnite/Avlr;/fortnite/Technoviking,,,,,,,
5,Histtory;Nicks;Damage.-13,4800,/fortnite/Histtory;/fortnite/Nicks;/fortnite/Damage.-13,,,,,,,
6,Pulga;Zotie;Barboysa,4800,/fortnite/Pulga;/fortnite/Zotie;/fortnite/Barboysa,,,,,,,
7,Eslipnot;LautA;Chipi,4800,/fortnite/Eslipnot;/fortnite/LautA;/fortnite/Chipi,,,,,,,
8,santidead;Escaracho;zEkO,4800,/fortnite/Santidead;/fortnite/Escaracho;/fortnite/ZEkO,,,,,,,
9,Ar4n;666;Skull,2400,/fortnite/Ar4n;/fortnite/666;/fortnite/Skull,,,,,,,
10,EZezinN;MiNNN;S6nti,2400,/fortnite/EZezinN;/fortnite/MiNNN;/fortnite/S6nti,,,,,,,
11,Cadu;Bedin;Kitoz,2400,/fortnite/Cadu;/fortnite/Bedin;/fortnite/Kitoz,,,,,,,
12,Neon;Pash;Thome,2400,/fortnite/Neon_(Brazilian_player);/fortnite/Pash;/fortnite/Thome,,,,,,,
13,Luco;Nocturnoz;Taizun,2400,/fortnite/Luco;/fortnite/Nocturnoz;/fortnite/Taizun,,,,,,,
14,leonzhett;Tuusa;Tacser,2400,/fortnite/Leonzhett;/fortnite/Tuusa;/fortnite/Tacser,,,,,,,
15,ReFleTz;Faah;KING,2400,/fortnite/ReFleTz;/fortnite/Faah;/fortnite/KING,,,,,,,
16,RustyK;German62hz;Sanku,2400,/fortnite/RustyK;/fortnite/German62hz;/fortnite/Sanku,,,,,,,
17,Clipnode;Twayko;Nothing,2400,/fortnite/Clipnode;/fortnite/Twayko;/fortnite/Nothing,,,,,,,
18,Leobas;Lagarto;Zqull,2400,/fortnite/Leobas;/fortnite/Lagarto;/fortnite/Zqull,,,,,,,
19,Fishy;Glcrespo;Granjero,2400,/fortnite/Fishy;/fortnite/Glcrespo;/fortnite/Granjero,,,,,,,
20,Clicc4triz;FrAnzeZZZZZZZ;GasToNNNNNNN,2400,/fortnite/Clicc4triz;/fortnite/FrAnzeZZZZZZZ;/fortnite/GasToNNNNNNN,,,,,,,
21,OnLy Nyu;Luks;Phzin,2400,/fortnite/OnLy_Nyu;/fortnite/Luks;/fortnite/Phzin,,,,,,,
22,SrMaTi;VairoV;Ghost,2400,/fortnite/SrMaTi;/fortnite/VairoV;/fortnite/Ghost,,,,,,,
23,Cuack;Tade;Dyfs,2400,/fortnite/Cuack;/fortnite/Tade;/fortnite/Dyfs,,,,,,,
24,H4wwk;Exileyd;Vbale 16,2400,/fortnite/H4wwk;/fortnite/Exileyd;/fortnite/Vbale_16,,,,,,,
25,Luxzera;Sixz1n;Kamikaze,2400,/fortnite/Luxzera;/fortnite/Sixz1n;/fortnite/Kamikaze,,,,,,,
26,Redlee;Guneves;Sushy,2400,/fortnite/Redlee;/fortnite/Guneves;/fortnite/Sushy,,,,,,,
27,ZiZou;Tincho;SneyX,2400,/fortnite/ZiZou;/fortnite/Tincho;/fortnite/SneyX,,,,,,,
28,Leozinn;GeoMHZ;Jpsk1ng,2400,/fortnite/Leozinn;/fortnite/GeoMHZ;/fortnite/Jpsk1ng,,,,,,,
29,Borsoni;Top 1 World Cup;NoTComplain,2400,/fortnite/Borsoni;/fortnite/Top_1_World_Cup;/fortnite/NoTComplain,,,,,,,
30,mystick;Febas;Nogz,2400,/fortnite/Mystick;/fortnite/Febas;/fortnite/Nogz,,,,,,,
31,Anclarity;Anclicho;Baja cagon,2400,/fortnite/Anclarity;/fortnite/Anclicho;/fortnite/Baja_cagon,,,,,,,
32,PlacceN;Lemu;SpacyX,2400,/fortnite/PlacceN;/fortnite/Lemu;/fortnite/SpacyX,,,,,,,
