Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Tschinken;Stompy;aqua,480000,/fortnite/Tschinken;/fortnite/Stompy;/fortnite/Aqua,Global,Trios,33,32,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals
2,Ritz;Endretta;Pate1k,216000,/fortnite/Ritz;/fortnite/Endretta;/fortnite/Pate1k,,,,,,,
3,Boyer;MOTOR;Verox,144000,/fortnite/Boyer;/fortnite/MOTOR;/fortnite/Verox,,,,,,,
4,Tohaj;BELAEU;Kaxie,52800,/fortnite/Tohaj;/fortnite/BELAEU;/fortnite/Kaxie,,,,,,,
5,crue;beehive;chapix,19200,/fortnite/Crue;/fortnite/Beehive;/fortnite/Chapix,,,,,,,
6,Falconly;Robabz;TheVic,19200,/fortnite/Falconly;/fortnite/Robabz;/fortnite/TheVic,,,,,,,
7,itemm;Rojo;MrSavage,19200,/fortnite/Itemm;/fortnite/Rojo;/fortnite/MrSavage,,,,,,,
8,luKi;Smiley;artor,19200,/fortnite/LuKi;/fortnite/Smiley;/fortnite/Artor,,,,,,,
9,elokratz;Klusia;Th0masHD,9600,/fortnite/Elokratz;/fortnite/Klusia;/fortnite/Th0masHD,,,,,,,
10,Mongraal;Mitr0;benjyfishy,9600,/fortnite/Mongraal;/fortnite/Mitr0;/fortnite/Benjyfishy,,,,,,,
11,Hoppy;Clement;BadSniper,9600,/fortnite/Hoppy;/fortnite/Clement;/fortnite/BadSniper,,,,,,,
12,RedRush;Zyppan;LeftEye,9600,/fortnite/RedRush;/fortnite/Zyppan;/fortnite/LeftEye,,,,,,,
13,Belvid;nayte;Magin,9600,/fortnite/Belvid;/fortnite/Nayte;/fortnite/Magin,,,,,,,
14,Deadra;NyX;Xoxo,9600,/fortnite/Deadra;/fortnite/NyX;/fortnite/Xoxo,,,,,,,
15,k1nzеll;Milan;crr,9600,/fortnite/K1nzell;/fortnite/Milan;/fortnite/Crr,,,,,,,
16,Magnus;Nebby;AVpro,9600,/fortnite/Magnus;/fortnite/Nebby;/fortnite/AVpro,,,,,,,
17,MarkusC;kejseR;Trippernn,9600,/fortnite/MarkusC;/fortnite/Kejser;/fortnite/Trippernn,,,,,,,
18,a1ms0nz;x8;fledermoys,9600,/fortnite/A1ms0nz;/fortnite/X8;/fortnite/Fledermoys,,,,,,,
19,Andilex;Orkh;SqualzK,9600,/fortnite/Andilex;/fortnite/Orkh;/fortnite/SqualzK,,,,,,,
20,ZQ;MAGL;EMXXRR,9600,/fortnite/ZQ;/fortnite/MAGL;/fortnite/EMXXRR,,,,,,,
21,DollarC;Darkorino;Snadr,9600,/fortnite/DollarC;/fortnite/Darkorino;/fortnite/Snadr,,,,,,,
22,Nikkeva;Zemee;Jjesse,9600,/fortnite/Nikkeva;/fortnite/Zemee;/fortnite/Jjesse,,,,,,,
23,Krejz;Tokar;Image,9600,/fortnite/Krejz;/fortnite/Tokar;/fortnite/Image,,,,,,,
24,Starly;Skailer;Caps,9600,/fortnite/Starly;/fortnite/Skailer;/fortnite/Caps,,,,,,,
25,duzeboy;Raze;Fray,9600,/fortnite/Duzeboy;/fortnite/Raze;/fortnite/Fray,,,,,,,
26,Kiryache32;Freemok;KongTV,9600,/fortnite/Kiryache32;/fortnite/Freemok;/fortnite/KongTV,,,,,,,
27,fwexY;letw1k3;Domentos,9600,/fortnite/FwexY;/fortnite/Letw1k3;/fortnite/Domentos,,,,,,,
28,Stormyrite;Siberiajkee;Putrick,9600,/fortnite/Stormyrite;/fortnite/Siberiajkee;/fortnite/Putrick,,,,,,,
29,Umplify;Miro;Matsoe,9600,/fortnite/Umplify;/fortnite/Miro;/fortnite/Matsoe,,,,,,,
30,Harmii;Kamo;Pepper,9600,/fortnite/Harmii;/fortnite/Kamo;/fortnite/Pepper,,,,,,,
31,Pr0vokd;Noward;Vorwenn,9600,/fortnite/Pr0vokd;/fortnite/Noward;/fortnite/Vorwenn,,,,,,,
32,ARDI;Rekins;Darker,9600,/fortnite/ARDI;/fortnite/Rekins;/fortnite/Darker,,,,,,,
