Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,FHD;Yonx;NM7,60000,/fortnite/FHD_(Fahad_Almutairi);/fortnite/Yonx;/fortnite/NM7,ME,Trios,33,32,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals/Middle_East
2,Oneshot;Souriano;RV,27000,/fortnite/Oneshot;/fortnite/Souriano;/fortnite/Rv,,,,,,,
3,Minzu;Kinji;Moon,18000,/fortnite/Minzu;/fortnite/Kinji;/fortnite/Moon,,,,,,,
4,Qbo;meCyx;NotWibu,6600,/fortnite/Qbo;/fortnite/MeCyx;/fortnite/NotWibu,,,,,,,
5,KLOPZ;Kappa;Feezle,2400,/fortnite/KLOPZ;/fortnite/Kappa;/fortnite/Feezle,,,,,,,
6,Jackz;craqqem;Friction,2400,/fortnite/Jackz;/fortnite/Hunter_(Vietnamese_player);/fortnite/Prime,,,,,,,
7,nomfu;Mev;denn1sg0d,2400,/fortnite/Nomfu;/fortnite/Mev;/fortnite/DNis,,,,,,,
8,7Mood;Zeeyadx;GntL,2400,/fortnite/7Mood;/fortnite/Zeeyadx;/fortnite/GntL,,,,,,,
9,a9far;Azizz;Rajrooj,1200,/fortnite/A9far;/fortnite/Azizz;/fortnite/Rajrooj,,,,,,,
10,Sane;Unit;Brook,1200,/fortnite/Sane;/fortnite/Unit;/fortnite/Brook,,,,,,,
11,killerbxy;Q6R;Ady,1200,/fortnite/Killerbxy;/fortnite/Q6R;/fortnite/ADY,,,,,,,
12,Jiren;Crizbir;SINLORD,1200,/fortnite/Jiren;/fortnite/Crizbir;/fortnite/SINLORD,,,,,,,
13,Miner;Vintee;Uniq,1200,/fortnite/Miner;/fortnite/Vintee;/fortnite/Uniq,,,,,,,
14,AdaM;WhiteHorse;WH1TE,1200,/fortnite/AdaM;/fortnite/WhiteHorse;/fortnite/WH1TE,,,,,,,
15,Abdulelah;Nasir;nighty,1200,/fortnite/Abdulelah;/fortnite/Nasir;/fortnite/Nighty,,,,,,,
16,CHozay;Rex;Stilson,1200,/fortnite/CHozay;/fortnite/Rex;/fortnite/Stilson,,,,,,,
17,iExon;DaddyFaisal;iFly,1200,/fortnite/IExon;/fortnite/DaddyFaisal;/fortnite/IFly,,,,,,,
18,Zenox;Cursive;Ion,1200,/fortnite/Zenox_(Indonesian_player);/fortnite/Cursive;/fortnite/Ion,,,,,,,
19,Anotamy;Kiwify;Alive,1200,/fortnite/Anotamy;/fortnite/Kiwify;/fortnite/Alive,,,,,,,
20,sakura;SHIMON;Vino,1200,/fortnite/Sakura;/fortnite/SHIMON;/fortnite/Vino,,,,,,,
21,H.man;QnDx;Njby,1200,/fortnite/H.man;/fortnite/QnDx;/fortnite/Njby,,,,,,,
22,Msiddig;Rampage;Siddig,1200,/fortnite/Msiddig;/fortnite/Rampage;/fortnite/Siddig,,,,,,,
23,spktah;No0oR;ab0se,1200,/fortnite/Spktah;/fortnite/No0oR;/fortnite/Ab0se,,,,,,,
24,C4rL;Raed;Snowyka,1200,/fortnite/C4rL;/fortnite/Raed;/fortnite/Snowyka,,,,,,,
25,Spy;vagnaR;Reptix,1200,/fortnite/Spy;/fortnite/VagnaR;/fortnite/Reptix,,,,,,,
26,Pancake;Klipper;P4nda,1200,/fortnite/Pancake;/fortnite/Klipper;/fortnite/P4nda,,,,,,,
27,I4xPRO;ToRmen;Dexefite,1200,/fortnite/I4xPRO;/fortnite/ToRmen;/fortnite/Dexefite,,,,,,,
28,TheWildGamerHere;Sai;Madara,1200,/fortnite/TheWildGamerHere;/fortnite/Sai;/fortnite/Madara,,,,,,,
29,soober;Wise;SamiMax,1200,/fortnite/Soober;/fortnite/Wise;/fortnite/SamiMax,,,,,,,
30,Esca;Toggle;Cigol,1200,/fortnite/Esca;/fortnite/Toggle;/fortnite/Cigol,,,,,,,
31,Obito;Nxghtmare;Ranger,1200,/fortnite/Obito;/fortnite/Nxghtmare;/fortnite/Ranger_(Indian_player),,,,,,,
32,GODLIKETS;Tyrax;D3ADSHOT,1200,/fortnite/GODLIKETS;/fortnite/Tyrax;/fortnite/D3ADSHOT,,,,,,,
