Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,ZexRow;yung calculator;MackWood,300000,/fortnite/ZexRow;/fortnite/Yung_calculator;/fortnite/MackWood,NAE,Trios,33,32,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals/North_America_East
2,CizLucky;Chap;Vivid,135000,/fortnite/CizLucky;/fortnite/Chap;/fortnite/Vivid,,,,,,,
3,blakeps;Tylarzz;Painful,90000,/fortnite/Blakeps;/fortnite/Tylarzz;/fortnite/Painful,,,,,,,
4,Zyfa;Zayt;Saf,33000,/fortnite/Zyfa;/fortnite/Zayt;/fortnite/Saf,,,,,,,
5,KEZ;LDamienS;Sebby,12000,/fortnite/KEZ;/fortnite/LDamienS;/fortnite/Sebby,,,,,,,
6,zoreh;Jahlyn;parpy,12000,/fortnite/Zoreh;/fortnite/Jahlyn;/fortnite/Parpy,,,,,,,
7,Clix;Crimz;Spades,12000,/fortnite/Clix;/fortnite/Crimz;/fortnite/Spades,,,,,,,
8,TeKae;Tossily;Shhneider,12000,/fortnite/TeKae;/fortnite/Tossily;/fortnite/Shhneider,,,,,,,
9,Slackes;Symfuhny;Reverse2k,6000,/fortnite/Slackes;/fortnite/Symfuhny;/fortnite/Reverse2k,,,,,,,
10,Cloud;thwifo;Snood,6000,/fortnite/Cloud;/fortnite/Thwifo;/fortnite/Snood,,,,,,,
11,Grazca;Ajay;daxor,6000,/fortnite/Grazca;/fortnite/Ajay;/fortnite/Daxor,,,,,,,
12,Inspyre;Cazz;Pxlarized,6000,/fortnite/Inspyre;/fortnite/Cazz;/fortnite/Pxlarized,,,,,,,
13,Perplexii;SpiroK;Predator,6000,/fortnite/Perplexii;/fortnite/SpiroK;/fortnite/Predator,,,,,,,
14,notpandda;Fuzzy;sto,6000,/fortnite/Notpandda;/fortnite/Fuzzy;/fortnite/Sto,,,,,,,
15,Faultur;frat;Curney,6000,/fortnite/Faultur;/fortnite/Frat;/fortnite/Curney,,,,,,,
16,Nittle;casqer;Smqcked,6000,/fortnite/Nittle;/fortnite/Casqer;/fortnite/Smqcked,,,,,,,
17,Megga;Eclipsae;Dubs,6000,/fortnite/Megga;/fortnite/Eclipsae;/fortnite/Dubs,,,,,,,
18,Aircool;Cadet;Reeloads,6000,/fortnite/Aircool;/fortnite/Cadet;/fortnite/Reeloads,,,,,,,
19,Knight;RogueShark;Flossen,6000,/fortnite/Knight;/fortnite/RogueShark;/fortnite/Flossen,,,,,,,
20,Kn1pher;Khuu;Snake,6000,/fortnite/Kn1pher;/fortnite/Khuu;/fortnite/Snake,,,,,,,
21,TF Cole;Legedien;Neferux,6000,/fortnite/TF_Cole;/fortnite/Legedien;/fortnite/Neferux,,,,,,,
22,Khanada;Fiber;Tfue,6000,/fortnite/Khanada;/fortnite/Fiber;/fortnite/Tfue,,,,,,,
23,TabzG;Tekk;Cadrent,6000,/fortnite/TabzG;/fortnite/Tekk;/fortnite/Cadrent,,,,,,,
24,Htag;Potg;Mercy,6000,/fortnite/Htag;/fortnite/Potg;/fortnite/Mercy,,,,,,,
25,Jakey;Witzz;Kev,6000,/fortnite/Jakey;/fortnite/Witzz;/fortnite/Kev,,,,,,,
26,Bugha;clarityG;Stretch,6000,/fortnite/Bugha;/fortnite/ClarityG;/fortnite/Stretch,,,,,,,
27,Nic;Bfo;Empereur,6000,/fortnite/Nic;/fortnite/Bfo;/fortnite/Empereur,,,,,,,
28,Ando;JLove;JeRM,6000,/fortnite/Ando;/fortnite/JLove;/fortnite/JeRM,,,,,,,
29,Bucke;Animal;Aspect,6000,/fortnite/Bucke;/fortnite/Animal;/fortnite/Aspect,,,,,,,
30,Okkers;ADolphin;Marzz_OW,6000,/fortnite/Okkers;/fortnite/ADolphin;/fortnite/Marzz_OW,,,,,,,
31,Strobe;Nine Brees;Statsy,6000,/fortnite/Strobe;/fortnite/Nine_Brees;/fortnite/Statsy,,,,,,,
32,Anaax;Sportykid2019;Zimeo,6000,/fortnite/Anaax;/fortnite/Sportykid2019;/fortnite/Zimeo,,,,,,,
