Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Prize Pool,Play Setting,Location,Venue,Start Date,End Date,URL
1,jayrosez;Dog;buubee,120000,/fortnite/Jayrosez;/fortnite/Dog;/fortnite/Buubee,NAW,Trios,33,32,300000,Online,North America,,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals/North_America_West
2,Ceice;Riversan;Elevate,54000,/fortnite/Ceice;/fortnite/Riversan;/fortnite/Elevate_(Canadian_Player),,,,,,,,,,,
3,Cented;rehx;Edgey,36000,/fortnite/Cented;/fortnite/Rehx;/fortnite/Edgey,,,,,,,,,,,
4,Symetrical;EpikWhale;Leno,13200,/fortnite/Symetrical;/fortnite/EpikWhale;/fortnite/Leno,,,,,,,,,,,
5,jammyz;Tristan Hipp;Herrions,4800,/fortnite/Jammyz;/fortnite/Tristan_Hipp;/fortnite/Herrions,,,,,,,,,,,
6,RichHomieQuinn;Barl;Wheels,4800,/fortnite/RichHomieQuinn;/fortnite/Barl;/fortnite/Wheels,,,,,,,,,,,
7,Tyvan;Maken;Frapai,4800,/fortnite/Tyvan;/fortnite/Maken;/fortnite/Frapai,,,,,,,,,,,
8,Naga Ops;Icy;Voxie,4800,/fortnite/Naga_Ops;/fortnite/Icy;/fortnite/Voxie,,,,,,,,,,,
9,Joysick;JTruth;scrupools,2400,/fortnite/Joysick;/fortnite/JTruth;/fortnite/Scrupools,,,,,,,,,,,
10,Caleb;Unlocalize;DBree,2400,/fortnite/Caleb;/fortnite/Unlocalize;/fortnite/DBree,,,,,,,,,,,
11,Fulmer;Persecute;Kytrex,2400,/fortnite/Fulmer;/fortnite/Persecute;/fortnite/Kytrex,,,,,,,,,,,
12,ThaiTanks;Thomuss;wavyjacob,2400,/fortnite/ThaiTanks;/fortnite/Thomuss;/fortnite/Wavyjacob,,,,,,,,,,,
13,captainy;Lollicker;Niibs,2400,/fortnite/Captainy;/fortnite/Lollicker;/fortnite/Niibs,,,,,,,,,,,
14,Twunks;Nitrix;andrew,2400,/fortnite/Twunks;/fortnite/Nitrix;/fortnite/Andrew,,,,,,,,,,,
15,Sean;Aydan;Psalm,2400,/fortnite/Sean;/fortnite/Aydan;/fortnite/Psalm,,,,,,,,,,,
16,Pzuhs;Maximoe;Snirot,2400,/fortnite/Pzuhs;/fortnite/Maximoe;/fortnite/Snirot,,,,,,,,,,,
17,Bumboy;Tavern;4DRStorm,2400,/fortnite/Bumboy;/fortnite/Tavern;/fortnite/4DRStorm,,,,,,,,,,,
18,little;Jay;slim,2400,/fortnite/Little;/fortnite/Jay;/fortnite/Slim,,,,,,,,,,,
19,Rhux;Pika;Joel,2400,/fortnite/Rhux;/fortnite/Pika;/fortnite/Joel,,,,,,,,,,,
20,Verty;Blix;Lxdesman,2400,/fortnite/Verty;/fortnite/Blix;/fortnite/Lxdesman,,,,,,,,,,,
21,Litzinio;Vinny;Reguletor,2400,/fortnite/Litzinio;/fortnite/Vinny;/fortnite/Reguletor,,,,,,,,,,,
22,Dopi;Peace;Dabzi,2400,/fortnite/Dopi;/fortnite/Peace;/fortnite/Dabzi,,,,,,,,,,,
23,Clyfen;Chicken;Zoof,2400,/fortnite/Clyfen;/fortnite/Chicken_(NA_player_2);/fortnite/Zoof,,,,,,,,,,,
24,Sttef;Zesty;Tachy,2400,/fortnite/Sttef;/fortnite/Zesty;/fortnite/Tachy,,,,,,,,,,,
25,Aurum;slimezey;parm,2400,/fortnite/Aurum;/fortnite/Slimezey;/fortnite/Parm,,,,,,,,,,,
26,Kix;Garrett;Legend,2400,/fortnite/Kix;/fortnite/Garrett;/fortnite/Legend,,,,,,,,,,,
27,JDW;Zoommba;Chexxy,2400,/fortnite/JDW;/fortnite/Zoommba;/fortnite/Chexxy,,,,,,,,,,,
28,Maddiesuun;Cheo;Rhxma,2400,/fortnite/Maddiesuun;/fortnite/Cheo;/fortnite/Rhxma,,,,,,,,,,,
29,Triggy;Vayne;Harmful,2400,/fortnite/Triggy;/fortnite/Vayne;/fortnite/Harmful,,,,,,,,,,,
30,Bzrk;Boppin;Balmes,2400,/fortnite/Bzrk;/fortnite/Boppin;/fortnite/Balmes,,,,,,,,,,,
31,Truth;Rizzoh;iRewq,2400,/fortnite/Truth;/fortnite/Rizzoh;/fortnite/IRewq,,,,,,,,,,,
32,Karp;Xetiq;Brogster,2400,/fortnite/Karp;/fortnite/Xetiq;/fortnite/Brogster,,,,,,,,,,,
