Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,minkin;Hillo;Gancho,60000,/fortnite/Minkin;/fortnite/Hillo;/fortnite/Gancho,OCE,Trios,33,32,2019-09-22,2019-09-22,https://liquipedia.net/fortnite/Fortnite_Champion_Series/Season_X/Grand_Finals/Oceania
2,Gooboz;Link;Worthy,27000,/fortnite/Gooboz;/fortnite/Link;/fortnite/Worthy,,,,,,,
3,Jynx;mrfreshasian;Rel,18000,/fortnite/Jynx;/fortnite/Mrfreshasian;/fortnite/Rel,,,,,,,
4,CoverH;Twizz;Westy,6600,/fortnite/CoverH;/fortnite/Twizz;/fortnite/Westy,,,,,,,
5,Lucid;Psyper;Jax,2400,/fortnite/Lucid;/fortnite/Psyper;/fortnite/Jax,,,,,,,
6,Scammed;crrimson;Kronic,2400,/fortnite/Scammed;/fortnite/Crrimson;/fortnite/Kronic,,,,,,,
7,RepulseGod;Alecc;sozmann,2400,/fortnite/RepulseGod;/fortnite/Alecc;/fortnite/Sozman,,,,,,,
8,Tired;Will;50,2400,/fortnite/Tired;/fortnite/Will;/fortnite/50,,,,,,,
9,skyla;slaya;Gheez,1200,/fortnite/Skyla;/fortnite/Slaya;/fortnite/Gheez,,,,,,,
10,kquid;Natanyo;Spraz,1200,/fortnite/Kquid;/fortnite/Natanyo;/fortnite/Spraz,,,,,,,
11,Zarby;Desire;Trapped,1200,/fortnite/Zarby;/fortnite/Desire;/fortnite/Trapped,,,,,,,
12,serpennt;Hype;Colt,1200,/fortnite/Serpennt;/fortnite/Hype;/fortnite/Colt,,,,,,,
13,Dataim;SerpentAU;Surf,1200,/fortnite/Dataim;/fortnite/SerpentAU;/fortnite/Surf,,,,,,,
14,ahri;Jamieegod;Priestty,1200,/fortnite/Ahri;/fortnite/Jamieegod;/fortnite/Priestty,,,,,,,
15,Agbays;Kayez;Flacko,1200,/fortnite/Agbays;/fortnite/Kayez;/fortnite/Flacko,,,,,,,
16,Criser;Caryion;Jake,1200,/fortnite/Criser;/fortnite/Caryion;/fortnite/Jake,,,,,,,
17,Jordan;Jesse;volx,1200,/fortnite/Jordan;/fortnite/Jesse;/fortnite/Volx,,,,,,,
18,Airow;hazzw;Lipex,1200,/fortnite/Airow;/fortnite/Hazzw;/fortnite/Lipex,,,,,,,
19,Javery;Cobs;Sunz,1200,/fortnite/Javery;/fortnite/Cobs;/fortnite/Sunz,,,,,,,
20,Forbes;sync;Eshz,1200,/fortnite/Forbes;/fortnite/Sync;/fortnite/Eshz,,,,,,,
21,Freska;Kules;Cl0wn,1200,/fortnite/Freska;/fortnite/Kules;/fortnite/Cl0wn,,,,,,,
22,Sorif;Predepression;Doolesworth,1200,/fortnite/Sorif;/fortnite/Predepression;/fortnite/Doolesworth,,,,,,,
23,Hershicals;Price;SpeedyND,1200,/fortnite/Hershicals;/fortnite/Price;/fortnite/SpeedyND,,,,,,,
24,Valaxies;Keith;Braith,1200,/fortnite/Valaxies;/fortnite/Keith;/fortnite/Braith,,,,,,,
25,Biocyder;Gen;Ruthless,1200,/fortnite/Biocyder;/fortnite/Gen;/fortnite/Ruthless,,,,,,,
26,Outsider;M1nt;tzuyu,1200,/fortnite/Outsider;/fortnite/M1nt;/fortnite/Tzuyu_(Australian_player),,,,,,,
27,Xzhilez;Snowyy;Drippp,1200,/fortnite/Xzhilez;/fortnite/Snowyy;/fortnite/Drippp,,,,,,,
28,Dolf;Mel;Benjiz,1200,/fortnite/Dolf;/fortnite/Mel;/fortnite/Benjiz,,,,,,,
29,radius;Contest;Samboo,1200,/fortnite/Radius;/fortnite/Contest;/fortnite/Samboo,,,,,,,
30,Leaveme;Turps;Clips,1200,/fortnite/Leaveme;/fortnite/Turps;/fortnite/Clips,,,,,,,
31,YuZon;Rushed;looter,1200,/fortnite/YuZon;/fortnite/Rushed;/fortnite/Looter,,,,,,,
32,Strafe;noble;thomas,1200,/fortnite/Strafe;/fortnite/Noble;/fortnite/Thomas_(OCE_player),,,,,,,
