Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Runa,20000,/fortnite/Runa,AS,Solos,100,99,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/Asia
2,Alice,12000,/fortnite/Alice,,,,,,,
3,Seak,11000,/fortnite/Seak,,,,,,,
4,Dokn,9000,/fortnite/Dokn,,,,,,,
5,Misty Aim,7500,/fortnite/Misty_Aim,,,,,,,
6,stork,6000,/fortnite/Stork,,,,,,,
7,Monster,5500,/fortnite/Monster,,,,,,,
8,Bot,4500,/fortnite/%E3%81%BC%E3%81%A3%E3%81%A8,,,,,,,
9,Shunsyan,3500,/fortnite/Shunsyan,,,,,,,
10,overStun,2500,/fortnite/OverStun,,,,,,,
11,HIRO,1800,/fortnite/HIRO,,,,,,,
12,Ryle,1800,/fortnite/Ryle,,,,,,,
13,Rui,1800,/fortnite/Rui,,,,,,,
14,Otome,1800,/fortnite/Otome,,,,,,,
15,fa1zzy,1800,/fortnite/Fa1zzy,,,,,,,
16,Qjac,1100,/fortnite/Qjac,,,,,,,
17,Fram,1100,/fortnite/Fram,,,,,,,
18,Koyota,1100,/fortnite/Koyota,,,,,,,
19,miya,1100,/fortnite/Miya,,,,,,,
20,Allen,1100,/fortnite/Allen,,,,,,,
21,Yusea,800,/fortnite/Yusea,,,,,,,
22,Aim,800,/fortnite/Aim,,,,,,,
23,Fiz,800,/fortnite/Fiz,,,,,,,
24,takadani,800,/fortnite/Takachan,,,,,,,
25,Peterpan,800,/fortnite/Peterpan,,,,,,,
26,Force,800,/fortnite/Force,,,,,,,
27,raru,800,/fortnite/Raru,,,,,,,
28,Zuity,800,/fortnite/Zuity,,,,,,,
29,Buyuriru,800,/fortnite/Buyuriru,,,,,,,
30,Rainy,800,/fortnite/Rainy,,,,,,,
31,AdaM,800,/fortnite/AdaM,,,,,,,
32,Ragis,800,/fortnite/Ragis,,,,,,,
33,Jozya,800,/fortnite/Jozya,,,,,,,
34,Zotax,800,/fortnite/Zotax,,,,,,,
35,Lettuce,800,/fortnite/Lettuce,,,,,,,
36,Riru,800,/fortnite/Riru,,,,,,,
37,cxlture,800,/fortnite/cxlture,,,,,,,
38,Naetor,800,/fortnite/Naetor,,,,,,,
39,Walver,800,/fortnite/Walver,,,,,,,
40,Envy,800,/fortnite/Envy,,,,,,,
41,redeN,500,/fortnite/redeN,,,,,,,
42,Ruri,500,/fortnite/Ruri,,,,,,,
43,Leyyner,500,/fortnite/Leyyner,,,,,,,
44,Tax,500,/fortnite/Tax,,,,,,,
45,Demon x,500,/fortnite/Demon_x,,,,,,,
46,XMipoli,500,/fortnite/Mipoli,,,,,,,
47,Panka,500,/fortnite/Pannkasu,,,,,,,
48,L4ex,500,/fortnite/L4ex,,,,,,,
49,Shuto,500,/fortnite/Shuto,,,,,,,
50,Won,500,/fortnite/Won,,,,,,,
51,WildHawk,500,/fortnite/WildHawk,,,,,,,
52,Rocca,500,/fortnite/Rocca,,,,,,,
53,RizArt,500,/fortnite/RizArt,,,,,,,
54,Carne,500,/fortnite/Carne,,,,,,,
55,Ratatouille,500,/fortnite/Ratatouille,,,,,,,
56,SuloA,500,/fortnite/SuloA,,,,,,,
57,Pote,500,/fortnite/Pote,,,,,,,
58,Syamu,500,/fortnite/Syamu,,,,,,,
59,SinOoh,500,/fortnite/SinOoh,,,,,,,
60,Ess,500,/fortnite/Ess,,,,,,,
61,Reisy,200,/fortnite/Reisy,,,,,,,
62,Rialy,200,/fortnite/Rialy,,,,,,,
63,Konan,200,/fortnite/Konan,,,,,,,
64,pacoteen,200,/fortnite/Pacoteen,,,,,,,
65,Swillium,200,/fortnite/Swillium,,,,,,,
66,2SNgNl,200,/fortnite/2SNgNl,,,,,,,
67,wickesy,200,/fortnite/Wickesy_(Japanese_player),,,,,,,
68,Bob,200,/fortnite/Bob,,,,,,,
69,Koa,200,/fortnite/Koa,,,,,,,
70,KUREN,200,/fortnite/KUREN,,,,,,,
71,Sazanto,200,/fortnite/Sazanto,,,,,,,
72,PowerBeshy,200,/fortnite/PowerBeshy,,,,,,,
73,Hibiki,200,/fortnite/Hibiki,,,,,,,
74,Tori,200,/fortnite/Tori,,,,,,,
75,Moon,200,/fortnite/Moon,,,,,,,
76,Raifer,200,/fortnite/Raifer,,,,,,,
77,Harukiyo,200,/fortnite/Harukiyo,,,,,,,
78,Roia,200,/fortnite/Roia,,,,,,,
79,Shamokiy,200,/fortnite/Shamokiy,,,,,,,
80,Maufin,200,/fortnite/Maufin,,,,,,,
81,Rio,200,/fortnite/Rio,,,,,,,
