Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Riversan,35000,/fortnite/Riversan,NAW,Solos,100,99,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/NAW
2,Frapai,25000,/fortnite/Frapai,,,,,,,
3,Reet,22500,/fortnite/Reet,,,,,,,
4,EpikWhale,17500,/fortnite/EpikWhale,,,,,,,
5,Jay,15000,/fortnite/Jay,,,,,,,
6,Dylannx,13500,/fortnite/Dylannx,,,,,,,
7,Batman Bugha,11000,/fortnite/Batman_Bugha,,,,,,,
8,Alithy,9000,/fortnite/Alithy,,,,,,,
9,Maken,7000,/fortnite/Maken,,,,,,,
10,Chicken,5500,/fortnite/Chicken,,,,,,,
11,exe,3750,/fortnite/Exe,,,,,,,
12,Arkhram,3750,/fortnite/Arkhram,,,,,,,
13,Nigel,3750,/fortnite/Nigel,,,,,,,
14,Criizux,3750,/fortnite/Criizux,,,,,,,
15,Tavern,3750,/fortnite/Tavern,,,,,,,
16,Kalgamer710,2250,/fortnite/Kalgamer710,,,,,,,
17,Rehx,2250,/fortnite/Rehx,,,,,,,
18,natee,2250,/fortnite/Natee,,,,,,,
19,Glace,2250,/fortnite/Glace,,,,,,,
20,jayrosez,2250,/fortnite/Jayrosez,,,,,,,
21,Caleb,1750,/fortnite/Caleb,,,,,,,
22,Kenshi,1750,/fortnite/Kenshi,,,,,,,
23,Nach,1750,/fortnite/Nach,,,,,,,
24,4DRStorm,1750,/fortnite/4DRStorm,,,,,,,
25,Smoq,1750,/fortnite/Smoq,,,,,,,
26,favs,1750,/fortnite/Favs,,,,,,,
27,Rek,1750,/fortnite/Rek,,,,,,,
28,Dog,1750,/fortnite/Dog,,,,,,,
29,spideyy,1750,/fortnite/Spideyy,,,,,,,
30,verT,1750,/fortnite/VerT,,,,,,,
31,Chris,1750,/fortnite/Chris,,,,,,,
32,Remsy,1750,/fortnite/Remsy,,,,,,,
