Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,Volx,20000,/fortnite/Volx,OCE,Solos,100,100,2021-06-26,2021-06-26,https://liquipedia.net/fortnite/Fortnite_Champion_Series/All-Star_Showdown/Solo/Grand_Finals/Oceania
2,Remi,12000,/fortnite/Remi,,,,,,,
3,LunR,11000,/fortnite/LunR,,,,,,,
4,Scammed,9000,/fortnite/Scammed,,,,,,,
5,looter,7500,/fortnite/Looter,,,,,,,
6,Muz,6000,/fortnite/Muz,,,,,,,
7,Tyraxe,5500,/fortnite/Tyraxe,,,,,,,
8,Rhyzah,4500,/fortnite/Rhyzah,,,,,,,
9,Movrickz,3500,/fortnite/Movrickz,,,,,,,
10,Sorif,2500,/fortnite/Sorif,,,,,,,
11,Baily,1800,/fortnite/Baily,,,,,,,
12,Jordan,1800,/fortnite/Jordan,,,,,,,
13,Chainz,1800,/fortnite/Chainz,,,,,,,
14,alecc,1800,/fortnite/Alecc,,,,,,,
15,Xalkerr,1800,/fortnite/Xalkerr,,,,,,,
16,Price,1100,/fortnite/Price,,,,,,,
17,Bluezie,1100,/fortnite/Bluezie,,,,,,,
18,Mania,1100,/fortnite/Mania,,,,,,,
19,Jynx,1100,/fortnite/Jynx,,,,,,,
20,Newbatoon,1100,/fortnite/Newbatoon,,,,,,,
21,Danath,800,/fortnite/Danath,,,,,,,
22,Rel,800,/fortnite/Rel,,,,,,,
23,Skits,800,/fortnite/Skits,,,,,,,
24,Rahcks,800,/fortnite/Rahcks,,,,,,,
25,Fab,800,/fortnite/Fab,,,,,,,
26,Bathan,800,/fortnite/Bathan,,,,,,,
27,worthy,800,/fortnite/Worthy,,,,,,,
28,Jake,800,/fortnite/Jake,,,,,,,
29,Zedox,800,/fortnite/Zedox,,,,,,,
30,Cynical,800,/fortnite/Cynical,,,,,,,
31,Oatley,800,/fortnite/Oatley,,,,,,,
32,Basil,800,/fortnite/Basil,,,,,,,
33,Will,800,/fortnite/Will,,,,,,,
34,Raptah,800,/fortnite/Raptah,,,,,,,
35,Ronin,800,/fortnite/Ronin_(OCE_player),,,,,,,
36,Sprout,800,/fortnite/Sprout,,,,,,,
37,Jace,800,/fortnite/Jace,,,,,,,
38,Psyper,800,/fortnite/Psyper,,,,,,,
39,Forbes,800,/fortnite/Forbes,,,,,,,
40,Kxunai,800,/fortnite/Kxunai,,,,,,,
41,Megadan,500,/fortnite/Megadan,,,,,,,
42,PhluxZy,500,/fortnite/PhluxZy,,,,,,,
43,District,500,/fortnite/District,,,,,,,
44,Suns,500,/fortnite/Suns,,,,,,,
45,Pumpkin,500,/fortnite/Pumpkin,,,,,,,
46,raiku,500,/fortnite/Raiku,,,,,,,
47,Eshz,500,/fortnite/Eshz,,,,,,,
48,Jvano,500,/fortnite/Jvano,,,,,,,
49,Rip,500,/fortnite/Rip,,,,,,,
50,Osiris,500,/fortnite/Osiris,,,,,,,
51,sio,500,/fortnite/Sio,,,,,,,
52,Mooteea,500,/fortnite/Mooteea,,,,,,,
53,Apolox,500,/fortnite/Apolox,,,,,,,
54,Breso,500,/fortnite/Breso,,,,,,,
55,mrfreshasian,500,/fortnite/Mrfreshasian,,,,,,,
56,SpeedyND,500,/fortnite/SpeedyND,,,,,,,
57,Jesse,500,/fortnite/Jesse,,,,,,,
58,Korq,500,/fortnite/Korq,,,,,,,
59,sync,500,/fortnite/Sync,,,,,,,
60,Goeg,500,/fortnite/Goeg,,,,,,,
61,Cryz,200,/fortnite/Cryz,,,,,,,
62,Bantis,200,/fortnite/Bantis,,,,,,,
63,M1,200,/fortnite/M1,,,,,,,
64,Kazuki,200,/fortnite/Kazuki,,,,,,,
65,Prhzy,200,/fortnite/Prhzy,,,,,,,
66,Arrest,200,/fortnite/Arrest,,,,,,,
67,Six,200,/fortnite/Six,,,,,,,
68,Trixy,200,/fortnite/Trixy,,,,,,,
69,Marz,200,/fortnite/Marz_(OCE_player),,,,,,,
70,2Faulty,200,/fortnite/2Faulty,,,,,,,
71,Gusos,200,/fortnite/Gusos,,,,,,,
72,Fallen,200,/fortnite/Fallen,,,,,,,
73,RepulseGod,200,/fortnite/RepulseGod,,,,,,,
74,VortexM,200,/fortnite/VortexM,,,,,,,
75,Gille,200,/fortnite/Gille,,,,,,,
